rule	category	count	pct	examples
a u → o	vowel coalescence	21	2.12	dhīraṃ vāridharasya vāri kirataḥ śrutvā niśīthe dhvaniṃ dīrghocchvāsamudaśruṇā virahiṇīṃ bālāṃ ciraṃ dhyāyatā dīrgha+ucchvāsam→dīrghocchvāsamudaśruṇā · īṣadvakrimakaṃdharaḥ sapulakaḥ premollasanmānasām antarhāsalasatkapolaphalakāṃ dhūrto'parāṃ cumbati prema+ullasat→premollasanmānasām · vrajati ramaṇe niḥśvasyoccaiḥ stanasthitahastayā nayanasalilacchannā dṛṣṭiḥ sakhīṣu niveśitā niḥśvasya+uccais→niḥśvasyoccaiḥ · bhrūbhaṅge racite'pi dṛṣṭiradhikaṃ sotkaṇṭham udvīkṣate kārkaśyaṃ gamite'pi cetasi tanūromāñcamālambate sa+utkaṇṭham→sotkaṇṭham
ā a → ā	vowel coalescence	18	1.82	hṛdayanihitaṃ bhāvākūtaṃ vamadbhirivekṣaṇaiḥ kathaya sukṛtī ko 'yaṃ mugdhe tvayādya vilokyate tvayā+adya→tvayādya · praharaviratau madhye vāhnastato'pi pare'thavā kimuta sakale jāte vāhṇi priya tvamihaiṣyasi vā+ahnaḥ→vāhnastato'pi · kiṃ mugdhe na mayā kṛtaṃ ramaṇadhīrmuktā tvayā gamyatāṃ dusthaṃ tiṣṭhasi yacca pathyamadhunā kartāsmi tacchroṣyasi kartā+asmi→kartāsmi · jñāte'līkanimīlane nayanayordhūrtasya romāñcato lajjāsīn mama tena sāpyapahṛtā tatkālayogyaiḥ kramaiḥ sā+api→sāpyapahṛtā
m d → ṃ d	anusvāra / nasal	17	1.72	kopāt komalalolabāhulatikāpāśena baddhā dṛḍhaṃ nītvā keliniketanaṃ dayitayā sāyaṃ sakhīnāṃ puraḥ niketanam→keliniketanaṃ +dayitayā · iti dinaśataprāpyaṃ deśaṃ priyasya yiyāsato harati gamanaṃ bālālāpaiḥ sabāṣpagalajjalaiḥ prāpyam→dinaśataprāpyaṃ +deśaṃ · dhīraṃ vāridharasya vāri kirataḥ śrutvā niśīthe dhvaniṃ dīrghocchvāsamudaśruṇā virahiṇīṃ bālāṃ ciraṃ dhyāyatā dhvaniṃ+dīrgha · ajñānena parāṅmukhīṃ paribhavād āśliṣya māṃ duḥkhitāṃ kiṃ labdhaṃ caṭula tvayeha nayatā saubhāgyametāṃ daśām māṃ+duḥkhitāṃ
m r → ṃ r	anusvāra / nasal	15	1.52	tanvyā yat suratāntatāntanayanaṃ vaktraṃ rativyatyaye tattvāṃ pātu cirāya kiṃ hariharabrahmādibhirdaivataiḥ vaktraṃ+rati · adhvanyena vimuktakaṇṭhamakhilāṃ rātriṃ tathā kranditaṃ grāmīṇairvrajato janasya vasatirgrāme niṣiddhā yathā akhilām→vimuktakaṇṭhamakhilāṃ +rātriṃ · kiṃ mugdhe na mayā kṛtaṃ ramaṇadhīrmuktā tvayā gamyatāṃ dusthaṃ tiṣṭhasi yacca pathyamadhunā kartāsmi tacchroṣyasi kṛtaṃ+ramaṇa · tatkiṃ rodiṣi gadgadena vacasā kasyāgrato rudyate nanvetan mama kā tavāsmi dayitā nāsmītyato rudyate kim→tatkiṃ +rodiṣi
m c → ṃ c	anusvāra / nasal	15	1.52	datto'syāḥ praṇayastvayaiva bhavatā ceyaṃ ciraṃ lālitā daivād adya kila tvameva kṛtavān asyā navaṃ vipriyam iyam→ceyaṃ +ciraṃ · nāryastanvi haṭhāddharanti ramaṇaṃ tiṣṭhanti no vāritās tatkiṃ tāmyasi kiṃ ca rodiṣi mudhā tāsāṃ priyaṃ mā kṛthāḥ kiṃ+ca · dhīraṃ vāridharasya vāri kirataḥ śrutvā niśīthe dhvaniṃ dīrghocchvāsamudaśruṇā virahiṇīṃ bālāṃ ciraṃ dhyāyatā bālāṃ+ciraṃ · iti sarabhasaṃ dhvastapremṇi vyapetaghṛṇe jane punarapi hatavrīḍaṃ cetaḥ prayāti karomi kim hatavrīḍaṃ+cetaḥ
aḥ m → o m	visarga	13	1.31	dampatyoḥ śanakairapāṅgavalanān miśrībhavaccakṣuṣor bhagno mānakaliḥ sahāsarabhasaṃ vyāsaktakaṇṭhagraham bhagno+mānakaliḥ · paśyāmo mayi kiṃ prapadyata iti sthairyaṃ mayālambitaṃ kiṃ māmālapatītyayaṃ khalu śaṭhaḥ kopastayāpyāśritaḥ paśyāmo+mayi · śītkārāñcitalocanā sarabhasaṃ yaiścumbitā māninī prāptaṃ tairamṛtaṃ mudhaiva mathito mūḍhaiḥ suraiḥ sāgaraḥ mathito+mūḍhaiḥ · prārabdhā purato yathā manasijasyājñā tathā vartituṃ premṇo maugdhyavibhūṣaṇasya sahajaḥ ko'pyeṣa kāntaḥ kramaḥ premṇo+maugdhya
ḥ a → r a	visarga	12	1.21	ekasmiñśayane parāṅmukhatayā vītottaraṃ tāmyator anyonyasya hṛdi sthite'pyanunaye saṃrakṣatorgauravam tāmyator+anyonyasya · bhrūbhaṅge racite'pi dṛṣṭiradhikaṃ sotkaṇṭham udvīkṣate kārkaśyaṃ gamite'pi cetasi tanūromāñcamālambate dṛṣṭiḥ+adhikam→dṛṣṭiradhikaṃ · svacchairacchakapolamūlagalitaiḥ paryastanetrotpalā bālā kevalameva roditi luṭhallolālakairaśrubhiḥ svacchaiḥ+accha→svacchairacchakapolamūlagalitaiḥ · bhavatu viditaṃ chadmālāpairalaṃ priya gamyatāṃ tanurapi na te doṣo'smākaṃ vidhistu parāṅmukhaḥ tanuḥ+api→tanurapi
i a → y a	vowel coalescence	12	1.21	ityanyonyavilakṣadṛṣṭicature tasminnavasthāntare savyājaṃ hasitaṃ mayā dhṛtiharo bāṣpastu muktastayā iti+anyonya→ityanyonyavilakṣadṛṣṭicature · kānte katyapi vāsarāṇi gamaya tvaṃ mīlayitvā dṛśau svasti svasti nimīlayāmi nayane yāvan na śūnyā diśaḥ kati+api→katyapi · sākrāntā jaghanasthalena guruṇā gantuṃ na śaktā vayaṃ doṣairanyajanāśritairapaṭavo jātāḥ sma ityadbhutam iti+adbhutam→ityadbhutam · paṭālagne patyau namayati mukhaṃ jātavinayā haṭhāśleṣaṃ vāñchatyapaharati gātrāṇi nibhṛtam vāñchati+apaharati→vāñchatyapaharati
m g → ṃ g	anusvāra / nasal	11	1.11	kṣipto hastāvalagnaḥ prasabham abhihato 'py ādadāno 'ṃśukāntaṃ gṛhṇan keśeṣvapāstaścaraṇanipatito nekṣitaḥ sambhrameṇa antam→'ṃśukāntaṃ +gṛhṇan · adhvanyena vimuktakaṇṭhamakhilāṃ rātriṃ tathā kranditaṃ grāmīṇairvrajato janasya vasatirgrāme niṣiddhā yathā kranditaṃ+grāmīṇaiḥ · bhrūbhaṅge racite'pi dṛṣṭiradhikaṃ sotkaṇṭham udvīkṣate kārkaśyaṃ gamite'pi cetasi tanūromāñcamālambate kārkaśyaṃ+gamite · prasthānaṃ valayaiḥ kṛtaṃ priyasakhairajasraṃ gataṃ dhṛtyā na kṣaṇamāsitaṃ vyavasitaṃ cittena gantuṃ puraḥ ajasram→priyasakhairajasraṃ +gataṃ
t a → d a	consonant / other	11	1.11	datto'syāḥ praṇayastvayaiva bhavatā ceyaṃ ciraṃ lālitā daivād adya kila tvameva kṛtavān asyā navaṃ vipriyam daivād+adya · ciravirahiṇor utkaṇṭhārtiślathīkṛtagātrayor navamiva jagaj jātaṃ bhūyaścirād abhinandatoḥ cirāt→bhūyaścirād +abhinandatoḥ · kimidamathavā satyaṃ mugdhe tvayā hi viniścitaṃ yad abhirucitaṃ tan me kṛtvā priye sukhamāsyatām yad+abhirucitaṃ · mānāndhakāramapi mānavatījanasya nūnaṃ bibheda yad asau prasasāda sadyaḥ yad+asau
aḥ n → o n	visarga	10	1.01	kṣipto hastāvalagnaḥ prasabham abhihato 'py ādadāno 'ṃśukāntaṃ gṛhṇan keśeṣvapāstaścaraṇanipatito nekṣitaḥ sambhrameṇa nipatitaḥ→keśeṣvapāstaścaraṇanipatito +na · likhannāste bhūmiṃ bahiravanataḥ prāṇadayito nirāhārāḥ sakhyaḥ satataruditocchūnanayanāḥ prāṇadayito+nirāhārāḥ · śayyopāntaniviṣṭasasmitamukhīnetrotsavānandito niryātaḥ śanakairalīkavacanopanyāsam ālījanaḥ ānanditaḥ→śayyopāntaniviṣṭasasmitamukhīnetrotsavānandito +niryātaḥ · dīrghā vandanamālikā viracitā hṛṣṭyaiva nendīvaraiḥ puṣpāṇāṃ prakaraḥ smitena racito no kundajātyādibhiḥ racito+no
m ś → ṃ ś	anusvāra / nasal	10	1.01	āliṅgan yo 'vadhūtas tripurayuvatibhiḥ sāśrunetrotpalābhiḥ kāmīvārdrāparādhaḥ sa dahatu duritaṃ śāmbhavo vaḥ śarāgniḥ duritaṃ+śāmbhavo · ālolām alakāvalīṃ vilulitāṃ bibhraccalatkuṇḍalaṃ kiṃcin mṛṣṭaviśeṣakaṃ tanutaraiḥ khedāmbhasāṃ śīkaraiḥ ambhasām→khedāmbhasāṃ +śīkaraiḥ · ete te kuṅkumāktastanakalaśabharāsphālanād ucchalantaḥ pītvā śītkārivaktraṃ śiśuharidṛśāṃ haimanā vānti vātāḥ vaktram→śītkārivaktraṃ +śiśu · gāḍhāśleṣaviśīrṇacandanarajaḥpuñjaprakarṣādiyaṃ śayyā samprati komalāṅgi paruṣetyāropya māṃ vakṣasi iyam→gāḍhāśleṣaviśīrṇacandanarajaḥpuñjaprakarṣādiyaṃ +śayyā
aḥ v → o v	visarga	10	1.01	āliṅgan yo 'vadhūtas tripurayuvatibhiḥ sāśrunetrotpalābhiḥ kāmīvārdrāparādhaḥ sa dahatu duritaṃ śāmbhavo vaḥ śarāgniḥ śāmbhavo+vaḥ · āyātā vayamāgamiṣyati suhṛdvargasya bhāgyodayaiḥ saṃdeśo vada kastavābhilaṣitastīrtheṣu toyāñjaliḥ saṃdeśo+vada · purastanvyā gotraskhalanacakito'haṃ natamukhaḥ pravṛtto vailakṣyātkimapi likhituṃ daivahatakaḥ pravṛtto+vailakṣyāt · rāmāṇāṃ ramaṇīyavaktraśaśinaḥ svedodabindupluto vyālolālakavallarīṃ pracalayan dhunvan nitambāmbaram plutaḥ→svedodabindupluto +vyālola
m dh → ṃ dh	anusvāra / nasal	10	1.01	bhūyo'pyevamiti skhalan mṛdugirā saṃsūcya duśceṣṭitaṃ dhanyo hanyata eva nihnutiparaḥ preyān rudatyā hasan duśceṣṭitaṃ+dhanyo · dhīraṃ vāridharasya vāri kirataḥ śrutvā niśīthe dhvaniṃ dīrghocchvāsamudaśruṇā virahiṇīṃ bālāṃ ciraṃ dhyāyatā ciraṃ+dhyāyatā · iti sarabhasaṃ dhvastapremṇi vyapetaghṛṇe jane punarapi hatavrīḍaṃ cetaḥ prayāti karomi kim sarabhasaṃ+dhvasta · īṣadvakrimakaṃdharaḥ sapulakaḥ premollasanmānasām antarhāsalasatkapolaphalakāṃ dhūrto'parāṃ cumbati phalakām→antarhāsalasatkapolaphalakāṃ +dhūrtaḥ
e a → e'	vowel coalescence	10	1.01	praharaviratau madhye vāhnastato'pi pare'thavā kimuta sakale jāte vāhṇi priya tvamihaiṣyasi pare+athavā→pare'thavā · ekasmiñśayane parāṅmukhatayā vītottaraṃ tāmyator anyonyasya hṛdi sthite'pyanunaye saṃrakṣatorgauravam sthite+api→sthite'pyanunaye · bhrūbhaṅge racite'pi dṛṣṭiradhikaṃ sotkaṇṭham udvīkṣate kārkaśyaṃ gamite'pi cetasi tanūromāñcamālambate racite+api→racite'pi · bhrūbhaṅge racite'pi dṛṣṭiradhikaṃ sotkaṇṭham udvīkṣate kārkaśyaṃ gamite'pi cetasi tanūromāñcamālambate gamite+api→gamite'pi
ā ā → ā	vowel coalescence	10	1.01	karṇālaṃkṛtipadmarāgaśakalaṃ vinyasya cañcūpuṭe vrīḍārtā prakaroti dāḍimaphalavyājena vāgbandhanam vrīḍā+ārtā→vrīḍārtā · paśyāmo mayi kiṃ prapadyata iti sthairyaṃ mayālambitaṃ kiṃ māmālapatītyayaṃ khalu śaṭhaḥ kopastayāpyāśritaḥ mayā+ālambitam→mayālambitaṃ · ityukte kva tad ityudīrya sahasā tatsampramārṣṭuṃ mayā sāśliṣṭā rabhasena tatsukhavaśāttanvyāpi tad vismṛtam sā+āśliṣṭā→sāśliṣṭā · sākrāntā jaghanasthalena guruṇā gantuṃ na śaktā vayaṃ doṣairanyajanāśritairapaṭavo jātāḥ sma ityadbhutam sā+ākrāntā→sākrāntā
t u → d u	consonant / other	9	0.91	dṛṣṭvaikāsanasaṃsthite priyatame paścād upetyādarād ekasyā nayane pidhāya vihitakrīḍānubandhacchalaḥ paścād+upetya · prātaḥ prātarupāgatena janitā nirnidratā cakṣuṣor mandāyāṃ mayi gauravavyapagamād utpāditaṃ lāghavam vyapagamāt→gauravavyapagamād +utpāditaṃ · tad utprekṣyotprekṣya priyasakhi gatāṃstāṃśca divasān na jāne ko heturdalati śatadhā yan na hṛdayam tad+utprekṣya · dūrādutsukamāgate vivalitaṃ sambhāṣiṇi sphāritaṃ saṃśliṣyatyaruṇaṃ gṛhītavasane kiṃcin natabhrūlatam dūrāt+utsukam→dūrādutsukamāgate
ā e → ai	vowel coalescence	9	0.91	dṛṣṭvaikāsanasaṃsthite priyatame paścād upetyādarād ekasyā nayane pidhāya vihitakrīḍānubandhacchalaḥ dṛṣṭvā+eka→dṛṣṭvaikāsanasaṃsthite · tvaṃ mugdhākṣi vinaiva kañculikayā dhatse manohāriṇīṃ lakṣmīmityabhidhāyini priyatame tadvīṭikāṃ saṃspṛśi vinā+eva→vinaiva · śītkārāñcitalocanā sarabhasaṃ yaiścumbitā māninī prāptaṃ tairamṛtaṃ mudhaiva mathito mūḍhaiḥ suraiḥ sāgaraḥ mudhā+eva→mudhaiva · dīrghā vandanamālikā viracitā hṛṣṭyaiva nendīvaraiḥ puṣpāṇāṃ prakaraḥ smitena racito no kundajātyādibhiḥ hṛṣṭyā+eva→hṛṣṭyaiva
aḥ y → o y	visarga	9	0.91	kopo yatra bhrūkuṭiracanā nigraho yatra maunaṃ yatrānyonyasmitamanunayo yatra dṛṣṭiḥ prasādaḥ kopo+yatra · kopo yatra bhrūkuṭiracanā nigraho yatra maunaṃ yatrānyonyasmitamanunayo yatra dṛṣṭiḥ prasādaḥ nigraho+yatra · kopo yatra bhrūkuṭiracanā nigraho yatra maunaṃ yatrānyonyasmitamanunayo yatra dṛṣṭiḥ prasādaḥ anunayaḥ→yatrānyonyasmitamanunayo +yatra · virahaviṣamaḥ kāmo vāmastanuṃ kurute tanuṃ divasagaṇanādakṣaścāsau vyapetaghṛṇo yamaḥ ghṛṇaḥ→vyapetaghṛṇo +yamaḥ
m h → ṃ h	anusvāra / nasal	8	0.81	tanvyā yat suratāntatāntanayanaṃ vaktraṃ rativyatyaye tattvāṃ pātu cirāya kiṃ hariharabrahmādibhirdaivataiḥ kiṃ+hari · manyurduḥsaha eṣa yātyupaśamaṃ no sāntvavādaiḥ sphuṭaṃ he nistraṃśa vimuktakaṇṭhakaruṇaṃ tāvatsakhī roditu sphuṭaṃ+he · parityaktaṃ sarvaṃ hasitapaṭhitaṃ pañjaraśukais tavāvasthā ceyaṃ visṛja kaṭhine mānamadhunā sarvaṃ+hasita · lajjāmantharatārakeṇa nipataddhārāśruṇā cakṣuṣā dṛṣṭvā māṃ hasitena bhāvimaraṇotsāhastayā sūcitaḥ māṃ+hasitena
t m → n m	consonant / other	8	0.81	dampatyoḥ śanakairapāṅgavalanān miśrībhavaccakṣuṣor bhagno mānakaliḥ sahāsarabhasaṃ vyāsaktakaṇṭhagraham valanāt→śanakairapāṅgavalanān +miśrībhavat · urasi nihitastāro hāraḥ kṛtā jaghane ghane kalakalavatī kāñcī pādau kvaṇanmaṇinūpurau kvaṇat+maṇi→kvaṇanmaṇinūpurau · jñāte'līkanimīlane nayanayordhūrtasya romāñcato lajjāsīn mama tena sāpyapahṛtā tatkālayogyaiḥ kramaiḥ āsīt→lajjāsīn +mama · kimidamathavā satyaṃ mugdhe tvayā hi viniścitaṃ yad abhirucitaṃ tan me kṛtvā priye sukhamāsyatām tan+me
aḥ h → o h	visarga	7	0.71	kṣipto hastāvalagnaḥ prasabham abhihato 'py ādadāno 'ṃśukāntaṃ gṛhṇan keśeṣvapāstaścaraṇanipatito nekṣitaḥ sambhrameṇa kṣipto+hasta · bhūyo'pyevamiti skhalan mṛdugirā saṃsūcya duśceṣṭitaṃ dhanyo hanyata eva nihnutiparaḥ preyān rudatyā hasan dhanyo+hanyata · iti dinaśataprāpyaṃ deśaṃ priyasya yiyāsato harati gamanaṃ bālālāpaiḥ sabāṣpagalajjalaiḥ yiyāsato+harati · urasi nihitastāro hāraḥ kṛtā jaghane ghane kalakalavatī kāñcī pādau kvaṇanmaṇinūpurau tāraḥ→nihitastāro +hāraḥ
m bh → ṃ bh	anusvāra / nasal	7	0.71	hṛdayanihitaṃ bhāvākūtaṃ vamadbhirivekṣaṇaiḥ kathaya sukṛtī ko 'yaṃ mugdhe tvayādya vilokyate nihitam→hṛdayanihitaṃ +bhāvākūtaṃ · ruddhāyāmapi vāci sasmitamidaṃ dagdhānanaṃ jāyate dṛṣṭe nirvahaṇaṃ bhaviṣyati kathaṃ mānasya tasmiñjane nirvahaṇaṃ+bhaviṣyati · ciravirahiṇor utkaṇṭhārtiślathīkṛtagātrayor navamiva jagaj jātaṃ bhūyaścirād abhinandatoḥ jātaṃ+bhūyas · śrutvā tanvyā niśīthe navaghanarasitaṃ viślathāṅkaṃ patitvā śayyāyāṃ bhūmipṛṣṭhe karataladhṛtayā duḥkhitālījanena śayyāyāṃ+bhūmi
m l → ṃ l	anusvāra / nasal	7	0.71	datto'syāḥ praṇayastvayaiva bhavatā ceyaṃ ciraṃ lālitā daivād adya kila tvameva kṛtavān asyā navaṃ vipriyam ciraṃ+lālitā · ajñānena parāṅmukhīṃ paribhavād āśliṣya māṃ duḥkhitāṃ kiṃ labdhaṃ caṭula tvayeha nayatā saubhāgyametāṃ daśām kiṃ+labdhaṃ · tvaṃ mugdhākṣi vinaiva kañculikayā dhatse manohāriṇīṃ lakṣmīmityabhidhāyini priyatame tadvīṭikāṃ saṃspṛśi manohāriṇīṃ+lakṣmīm · prātaḥ prātarupāgatena janitā nirnidratā cakṣuṣor mandāyāṃ mayi gauravavyapagamād utpāditaṃ lāghavam utpāditaṃ+lāghavam
a i → e	vowel coalescence	7	0.71	datto'syāḥ praṇayastvayaiva bhavatā ceyaṃ ciraṃ lālitā daivād adya kila tvameva kṛtavān asyā navaṃ vipriyam ca+iyam→ceyaṃ · parityaktaṃ sarvaṃ hasitapaṭhitaṃ pañjaraśukais tavāvasthā ceyaṃ visṛja kaṭhine mānamadhunā ca+iyam→ceyaṃ · kathamapi sakhi krīḍākopād vrajeti mayodite kaṭhinahṛdayastyaktvā śayyāṃ balād gata eva saḥ vraja+iti→vrajeti · dīrghā vandanamālikā viracitā hṛṣṭyaiva nendīvaraiḥ puṣpāṇāṃ prakaraḥ smitena racito no kundajātyādibhiḥ na+indīvaraiḥ→nendīvaraiḥ
