pack	locus	dcs	syllables	metre	metre_type	method	confidence	text
hitopadesa-0	Hitopadeśa, Hitop, 0, 28.3	dcs:351326	16	anuṣṭubh	jati	syllable-heuristic	medium	nagnatvaṃ nīlakaṇṭhasya mahāhiśayanaṃ hareḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 29.1	dcs:351327	3			unresolved		anyac ca
hitopadesa-0	Hitopadeśa, Hitop, 0, 29.2	dcs:351328	16	anuṣṭubh	jati	syllable-heuristic	medium	yad abhāvi na tad bhāvi bhāvi cen na tad anyathā
hitopadesa-0	Hitopadeśa, Hitop, 0, 29.3	dcs:351329	16	anuṣṭubh	jati	syllable-heuristic	medium	iti cintāviṣaghno 'yam agadaḥ kiṃ na pīyate
hitopadesa-0	Hitopadeśa, Hitop, 0, 3.1	dcs:351261	16	anuṣṭubh	jati	syllable-heuristic	medium	ajarāmaravat prājño vidyāmarthaṃ ca cintayet
hitopadesa-0	Hitopadeśa, Hitop, 0, 3.2	dcs:351262	16	anuṣṭubh	jati	syllable-heuristic	medium	gṛhīta iva keśeṣu mṛtyunā dharmamācaret
hitopadesa-0	Hitopadeśa, Hitop, 0, 30.1	dcs:351330	16	anuṣṭubh	jati	syllable-heuristic	medium	etat kāryākṣamāṇāṃ keṣāṃcid ālasyavacanam
hitopadesa-0	Hitopadeśa, Hitop, 0, 30.2	dcs:351331	9			unresolved		puruṣakārautkārṣyam āha
hitopadesa-0	Hitopadeśa, Hitop, 0, 30.3	dcs:351332	16	anuṣṭubh	jati	syllable-heuristic	medium	yathā hy ekena cakreṇa na rathasya gatir bhavet
hitopadesa-0	Hitopadeśa, Hitop, 0, 30.4	dcs:351333	16	anuṣṭubh	jati	syllable-heuristic	medium	tathā puruṣakāreṇa vinā daivaṃ na sidhyati
hitopadesa-0	Hitopadeśa, Hitop, 0, 31.1	dcs:351334	3			unresolved		tathā ca
hitopadesa-0	Hitopadeśa, Hitop, 0, 31.2	dcs:351335	16	anuṣṭubh	jati	syllable-heuristic	medium	pūrvajanmakṛtaṃ karma tad daivam iti kathyate
hitopadesa-0	Hitopadeśa, Hitop, 0, 31.3	dcs:351336	16	anuṣṭubh	jati	syllable-heuristic	medium	tasmāt puruṣakāreṇa yatnaṃ kuryād atandritaḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 32.1	dcs:351337	16	anuṣṭubh	jati	syllable-heuristic	medium	na daivam api saṃcintya tyajed udyogam ātmanaḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 32.2	dcs:351338	16	anuṣṭubh	jati	syllable-heuristic	medium	anudyogena tailāni tilebhyo nāptum arhati
hitopadesa-0	Hitopadeśa, Hitop, 0, 33.1	dcs:351339	3			unresolved		anyac ca
hitopadesa-0	Hitopadeśa, Hitop, 0, 33.2	dcs:351340	28	vasantatilakA	vrtta	vidyut-chandas	high	udyoginaṃ puruṣasiṃham upaiti lakṣmīr daivena deyam iti kāpu
hitopadesa-0	Hitopadeśa, Hitop, 0, 33.3	dcs:351341	28	vasantatilakA	vrtta	vidyut-chandas	high	daivaṃ nihatya kuru pauruṣam ātmaśaktyā yatne kṛte yadi na s
hitopadesa-0	Hitopadeśa, Hitop, 0, 34.1	dcs:351342	16	anuṣṭubh	jati	syllable-heuristic	medium	yathā mṛtpiṇḍataḥ kartā kurute yad yad icchati
hitopadesa-0	Hitopadeśa, Hitop, 0, 34.2	dcs:351343	16	anuṣṭubh	jati	syllable-heuristic	medium	evam ātmakṛtaṃ karma mānavaḥ pratipadyate
hitopadesa-0	Hitopadeśa, Hitop, 0, 35.1	dcs:351344	16	anuṣṭubh	jati	syllable-heuristic	medium	kākatālīyavat prāptaṃ dṛṣṭvāpi nidhim agrataḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 35.2	dcs:351345	16	anuṣṭubh	jati	syllable-heuristic	medium	na svayaṃ daivam ādatte puruṣārtham apekṣate
hitopadesa-0	Hitopadeśa, Hitop, 0, 36.1	dcs:351346	16	anuṣṭubh	jati	syllable-heuristic	medium	udyamena hi sidhyanti kāryāṇi na manorathaiḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 36.2	dcs:351347	16	anuṣṭubh	jati	syllable-heuristic	medium	nahi suptasya siṃhasya praviśanti mukhe mṛgāḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 37.1	dcs:351348	4			unresolved		tathā coktam
hitopadesa-0	Hitopadeśa, Hitop, 0, 37.2	dcs:351349	16	anuṣṭubh	jati	syllable-heuristic	medium	mātā śatruḥ pitā vairī yena bālo na pāṭhitaḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 37.3	dcs:351350	16	anuṣṭubh	jati	syllable-heuristic	medium	na śobhate sabhāmadhye haṃsamadhye bako yathā
hitopadesa-0	Hitopadeśa, Hitop, 0, 38.1	dcs:351351	16	anuṣṭubh	jati	syllable-heuristic	medium	rūpayauvanasampannā viśālakulasambhavāḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 38.2	dcs:351352	16	anuṣṭubh	jati	syllable-heuristic	medium	vidyāhīnā na śobhante nirgandhā iva kiṃśukāḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 39.1	dcs:351353	4			unresolved		aparac ca
hitopadesa-0	Hitopadeśa, Hitop, 0, 39.2	dcs:351354	16	anuṣṭubh	jati	syllable-heuristic	medium	pustakeṣu ca nādhītaṃ nādhītaṃ gurusaṃnidhau
hitopadesa-0	Hitopadeśa, Hitop, 0, 39.3	dcs:351355	16	anuṣṭubh	jati	syllable-heuristic	medium	na śobhate sabhāmadhye jāragarbha iva striyāḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 4.1	dcs:351263	16	anuṣṭubh	jati	syllable-heuristic	medium	sarvadravyeṣu vidyaiva dravyam āhur anuttamam
hitopadesa-0	Hitopadeśa, Hitop, 0, 4.2	dcs:351264	16	anuṣṭubh	jati	syllable-heuristic	medium	ahāryatvād anarghatvād akṣayatvāc ca sarvadā
hitopadesa-0	Hitopadeśa, Hitop, 0, 40.1	dcs:351356	17			unresolved		etac cintayitvā rājā paṇḍitasabhāṃ kāritavān
hitopadesa-0	Hitopadeśa, Hitop, 0, 40.2	dcs:351357	17			unresolved		rājovāca bho bhoḥ paṇḍitāḥ śrūyatāṃ mama vacanam
hitopadesa-0	Hitopadeśa, Hitop, 0, 40.3	dcs:351358	56			unresolved		asti kaścid evambhūto vidvān yo mama putrāṇāṃ nityam unmārga
hitopadesa-0	Hitopadeśa, Hitop, 0, 40.4	dcs:351359	16	anuṣṭubh	jati	syllable-heuristic	medium	kācaḥ kāñcanasaṃsargād dhatte mārakatīr dyutīḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 40.5	dcs:351360	16	anuṣṭubh	jati	syllable-heuristic	medium	tathā satsaṃnidhānena mūrkho yāti pravīṇatām
hitopadesa-0	Hitopadeśa, Hitop, 0, 41.1	dcs:351361	3			unresolved		uktaṃ ca
hitopadesa-0	Hitopadeśa, Hitop, 0, 41.2	dcs:351362	16	anuṣṭubh	jati	syllable-heuristic	medium	hīyate hi matis tāta hīnaiḥ saha samāgamāt
hitopadesa-0	Hitopadeśa, Hitop, 0, 41.3	dcs:351363	16	anuṣṭubh	jati	syllable-heuristic	medium	samaiś ca samatām eti viśiṣṭaiś ca viśiṣṭatām
hitopadesa-0	Hitopadeśa, Hitop, 0, 42.1	dcs:351364	48			unresolved		atrāntare viṣṇuśarmanāmā mahāpaṇḍitaḥ sakalanītiśāstratattva
hitopadesa-0	Hitopadeśa, Hitop, 0, 42.2	dcs:351365	12			unresolved		tat mayā nītiṃ grāhayituṃ śakyante
hitopadesa-0	Hitopadeśa, Hitop, 0, 42.3	dcs:351366	2			unresolved		yataḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 42.4	dcs:351367	16	anuṣṭubh	jati	syllable-heuristic	medium	nādravye nihitā kācit kriyā phalavatī bhavet
hitopadesa-0	Hitopadeśa, Hitop, 0, 42.5	dcs:351368	16	anuṣṭubh	jati	syllable-heuristic	medium	na vyāpāraśatenāpi śukavat pāṭhyate bakaḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 43.1	dcs:351369	3			unresolved		anyac ca
hitopadesa-0	Hitopadeśa, Hitop, 0, 43.2	dcs:351370	16	anuṣṭubh	jati	syllable-heuristic	medium	asmiṃs tu nirguṇaṃ gotre nāpatyam upajāyate
hitopadesa-0	Hitopadeśa, Hitop, 0, 43.3	dcs:351371	16	anuṣṭubh	jati	syllable-heuristic	medium	ākare padyarāgānāṃ janma kācamaṇeḥ kutaḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 44.1	dcs:351372	23			unresolved		ato 'haṃ ṣaṇmāsābhyantare bhavatputrān nītiśāstrābhijñān kar
hitopadesa-0	Hitopadeśa, Hitop, 0, 44.2	dcs:351373	11			unresolved		rājā savinayaṃ punar uvāca
hitopadesa-0	Hitopadeśa, Hitop, 0, 44.3	dcs:351374	16	anuṣṭubh	jati	syllable-heuristic	medium	kīṭo 'pi sumanaḥsaṅgād ārohati satāṃ śiraḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 44.4	dcs:351375	16	anuṣṭubh	jati	syllable-heuristic	medium	aśmāpi yāti devatvaṃ mahadbhiḥ supratiṣṭhitaḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 45.1	dcs:351376	3			unresolved		anyac ca
hitopadesa-0	Hitopadeśa, Hitop, 0, 45.2	dcs:351377	16	anuṣṭubh	jati	syllable-heuristic	medium	yathodayagirer dravyaṃ saṃnikarṣeṇa dīpyate
hitopadesa-0	Hitopadeśa, Hitop, 0, 45.3	dcs:351378	16	anuṣṭubh	jati	syllable-heuristic	medium	tathā satsaṃnidhānena hīnavarṇo 'pi dīpyate
hitopadesa-0	Hitopadeśa, Hitop, 0, 46.1	dcs:351379	22			unresolved		guṇā guṇajñeṣu guṇā bhavanti te nirguṇaṃ prāpya bhavanti doṣ
hitopadesa-0	Hitopadeśa, Hitop, 0, 46.2	dcs:351380	22	AKyAnikI	vrtta	vidyut-chandas	high	āsvādyatoyāḥ pravahanti nadyaḥ samudram āsādya bhavanty upey
hitopadesa-0	Hitopadeśa, Hitop, 0, 47.1	dcs:351381	48			unresolved		tad eteṣām asmatputrāṇāṃ nītiśāstropadeśāya bhavantaḥ pramāṇ
hitopadesa-0	Hitopadeśa, Hitop, 0, 5.1	dcs:351265	16	anuṣṭubh	jati	syllable-heuristic	medium	saṃyojayati vidyaiva nīcagāpi naraṃ sarit
hitopadesa-0	Hitopadeśa, Hitop, 0, 5.2	dcs:351266	16	anuṣṭubh	jati	syllable-heuristic	medium	samudram iva durdharṣaṃ nṛpaṃ bhāgyam ataḥ param
hitopadesa-0	Hitopadeśa, Hitop, 0, 6.1	dcs:351267	16	anuṣṭubh	jati	syllable-heuristic	medium	vidyā dadāti vinayaṃ vinayād yāti pātratām
hitopadesa-0	Hitopadeśa, Hitop, 0, 6.2	dcs:351268	16	anuṣṭubh	jati	syllable-heuristic	medium	pātratvāt dhanam āpnoti dhanād dharmaṃ tataḥ sukham
hitopadesa-0	Hitopadeśa, Hitop, 0, 7.1	dcs:351269	16	anuṣṭubh	jati	syllable-heuristic	medium	vidyā śastraṃ ca śāstraṃ ca dve vidye pratipattaye
hitopadesa-0	Hitopadeśa, Hitop, 0, 7.2	dcs:351270	16	anuṣṭubh	jati	syllable-heuristic	medium	ādyā hāsyāya vṛddhatve dvitīyādriyate sadā
hitopadesa-0	Hitopadeśa, Hitop, 0, 8.1	dcs:351271	16	anuṣṭubh	jati	syllable-heuristic	medium	yan nave bhājane lagnaḥ saṃskāro nānyathā bhavet
hitopadesa-0	Hitopadeśa, Hitop, 0, 8.2	dcs:351272	16	anuṣṭubh	jati	syllable-heuristic	medium	kathāchalena bālānāṃ nītis tad iha kathyate
hitopadesa-0	Hitopadeśa, Hitop, 0, 9.1	dcs:351273	16	anuṣṭubh	jati	syllable-heuristic	medium	mitralābhaḥ suhṛdbhedo vigrahaḥ saṃdhir eva ca
hitopadesa-0	Hitopadeśa, Hitop, 0, 9.2	dcs:351274	16	anuṣṭubh	jati	syllable-heuristic	medium	pañcatantrāt tathānyasmād granthād ākṛṣya likhyate
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 1.1	dcs:357659	24	vaMSasTa	vrtta	vidyut-chandas	high	śriyaḥ kurūṇām adhipasya pālanīṃ prajāsu vṛttiṃ yam ayuṅkta 
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 1.2	dcs:357660	24	vaMSasTa	vrtta	vidyut-chandas	high	sa varṇiliṅgī viditaḥ samāyayau yudhiṣṭhiraṃ dvaitavane vane
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 10.1	dcs:357677	24	vaMSasTa	vrtta	vidyut-chandas	high	sakhīn iva prītiyujo 'nujīvinaḥ samānamānān suhṛdaś ca bandh
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 10.2	dcs:357678	24	vaMSasTa	vrtta	vidyut-chandas	high	sa saṃtataṃ darśayate gatasmayaḥ kṛtādhipatyām iva sādhu ban
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 11.1	dcs:357679	24	vaMSasTa	vrtta	vidyut-chandas	high	asaktam ārādhayato yathāyathaṃ vibhajya bhaktyā samapakṣapāt
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 11.2	dcs:357680	24	vaMSasTa	vrtta	vidyut-chandas	high	guṇānurāgād iva sakhyam īyivān na bādhate 'sya trigaṇaḥ para
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 12.1	dcs:357681	24	vaMSasTa	vrtta	vidyut-chandas	high	niratyayaṃ sāma na dānavarjitaṃ na bhūri dānaṃ virahayya sat
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 12.2	dcs:357682	24	vaMSasTa	vrtta	vidyut-chandas	high	pravartate tasya viśeṣaśālinī guṇānurodhena vinā na satkriyā
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 13.1	dcs:357683	24	vaMSasTa	vrtta	vidyut-chandas	high	vasūni vāñchan na vaśī na manyunā svadharma ity eva nivṛttak
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 13.2	dcs:357684	24	vaMSasTa	vrtta	vidyut-chandas	high	gurūpadiṣṭena ripau sute 'pi vā nihanti daṇḍena sa dharmavip
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 14.1	dcs:357685	24	vaMSasTa	vrtta	vidyut-chandas	high	vidhāya rakṣān paritaḥ paretarān aśaṅkitākāram upaiti śaṅkit
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 14.2	dcs:357686	24	vaMSasTa	vrtta	vidyut-chandas	high	kriyāpavargeṣv anujīvisātkṛtāḥ kṛtajñatām asya vadanti sampa
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 15.1	dcs:357687	24	vaMSasTa	vrtta	vidyut-chandas	high	anārataṃ tena padeṣu lambhitā vibhajya samyag viniyogasatkri
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 15.2	dcs:357688	24	vaMSasTa	vrtta	vidyut-chandas	high	phalanty upāyāḥ paribṛṃhitāyatīr upetya saṃgharṣam ivārthasa
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 16.1	dcs:357689	24	vaMSasTa	vrtta	vidyut-chandas	high	anekarājanyarathāśvasaṃkulaṃ tadīyam āsthānaniketanājiram
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 16.2	dcs:357690	24	vaMSasTa	vrtta	vidyut-chandas	high	nayaty ayugmacchadagandhir ārdratāṃ bhṛśaṃ nṛpopāyanadantinā
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 17.1	dcs:357691	24	vaMSasTa	vrtta	vidyut-chandas	high	sukhena labhyā dadhataḥ kṛṣīvalair akṛṣṭapacyā iva sasyasamp
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 17.2	dcs:357692	24	vaMSasTa	vrtta	vidyut-chandas	high	vitanvati kṣemam adevamātṛkāś cirāya tasmin kuravaś cakāsati
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 18.1	dcs:357693	24	vaMSasTa	vrtta	vidyut-chandas	high	mahaujaso mānadhanā dhanārcitā dhanurbhṛtaḥ saṃyati labdhakī
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 18.2	dcs:357694	24	vaMSasTa	vrtta	vidyut-chandas	high	na saṃhatās tasya na bhedavṛttayaḥ priyāṇi vāñchanty asubhiḥ
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 19.1	dcs:357695	24	vaMSasTa	vrtta	vidyut-chandas	high	udārakīrter udayaṃ dayāvataḥ praśāntabādhaṃ diśato 'bhirakṣa
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 19.2	dcs:357696	24	vaMSasTa	vrtta	vidyut-chandas	high	svayaṃ pradugdhe 'sya guṇair upasnutā vasūpamānasya vasūni m
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 2.1	dcs:357661	24	vaMSasTa	vrtta	vidyut-chandas	high	kṛtapraṇāmasya mahīṃ mahībhuje jitāṃ sapatnena nivedayiṣyata
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 2.2	dcs:357662	24	vaMSasTa	vrtta	vidyut-chandas	high	na vivyathe tasya mano na hi priyaṃ pravaktum icchanti mṛṣā 
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 20.1	dcs:357697	24	vaMSasTa	vrtta	vidyut-chandas	high	mahībhujāṃ saccaritaiś caraiḥ kriyāḥ sa veda niḥśeṣam aśeṣit
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 20.2	dcs:357698	24	vaMSasTa	vrtta	vidyut-chandas	high	mahodayais tasya hitānubandhibhiḥ pratīyate dhātur ivehitaṃ 
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 21.1	dcs:357699	24	vaMSasTa	vrtta	vidyut-chandas	high	na tena sajyaṃ kvacid udyataṃ dhanur na vā kṛtaṃ kopavijihma
kiratarjuniya-1	Kirātārjunīya, Kir, 1, 21.2	dcs:357700	24	vaMSasTa	vrtta	vidyut-chandas	high	guṇānurāgeṇa śirobhir uhyate narādhipair mālyam ivāsya śāsan
