lemma_slp1	example_slp1	example_sa	example_ru	example_work	example_passage	example_kind
ADirAjya	ADirAjya	ādhirājya	царство	05_mahabharata-udyogaparva	5.88.28-33	translation
ADiraTi	ADiraTi	ādhirathi	сын Адхиратхи	03_mahabharata-aranyakaparva	3.294.1-2	translation
ADistena	ADistena	ādhistena	похитителем залога	manavadharmashastra	8.144	translation
ADitA	ADita	ādhita	совершаемое	vedartha-samgraha_ramanuja	138	translation
ADmA	ADamA	ādhamā	низменных	01_mahabharata-adiparva	1.171.1-16	translation
ADra	ADrasya	ādhrasya	несчастного	01_rigveda	31.14	translation
ADvaryava	ADvaryava	ādhvaryava	служба адхварью	10_rigveda	52.2	translation
ADyAtmika	ADyAtmika	ādhyātmika	о брахме	manavadharmashastra	2.117	translation
AGAra	AGAra	āghāra	агхара	14_mahabharata-ashvamedhikaparva	14.24.5-12	translation
AGAta	AGAta	āghāta	бойне	06_mahabharata-bhishmaparva	6.59.11-19	translation
AGAwi	AGAwi	āghāṭi	цимбалы	10_rigveda	146.2	translation
AGUrR	AGUrRita	āghūrṇita	реяли	01_mahabharata-adiparva	1.64.1-10	translation
AGUrRita	AGUrRita	āghūrṇita	реяли	01_mahabharata-adiparva	1.64.1-10	translation
AGfRIvasu	AGfRIvaso	āghṛṇīvaso	полный жара	08_rigveda	60.20	translation
AGfRi	AGfRe	āghṛṇe	пылающий	01_rigveda	23.13	translation
AGrA	AGrAya	āghrāya	поцеловав	02_ramayana-ayodhyakanda	25.40	translation
AGuz	AGozate	āghoṣate	возносит	01_rigveda	83.6	translation
AIr	eriRam	eriṇam	впадину	01_rigveda	186.9	translation
AKAd	AcaKAda	ācakhāda	отняла	06_rigveda	61.1	translation
AKaRa	AKaRa	ākhaṇa	твердым	ch-up	1.2.7	translation
AKaRqala	AKaRqala	ākhaṇḍala	Акхандала	08_rigveda	17.12	translation
AKara	AKare	ākhare	в ложбине	10_rigveda	94.5	translation
AKida	AKidA	ā khidā	Вырви	04_atharvaveda	22.7	translation
AKu	AKu	ākhu	крыса	manavadharmashastra	4.126	translation
AKyA	AKyAsye	ākhyāsye	расскажу	01_mahabharata-adiparva	1.2.29-30	translation
AKyAna	AKyAna	ākhyāna	сказание	01_mahabharata-adiparva	1.2.42-48	translation
AKyAnaka	AKyAnaka	ākhyānaka	рассказы	kama-sutra	3.3.19	translation
AKyAta	AKyAtam	ākhyātam	рассказывается	01_mahabharata-adiparva	1.2.169-172	translation
AKyAtf	AKyAtA	ākhyātā	излагается	01_mahabharata-adiparva	1.2.105-129	translation
AKyAti	AKyAti	ākhyāti	говорит	05_ramayana-sundarakanda	26.25	translation
AKyAyikA	AKyAyikA	ākhyāyikā	беседе	01_ramayana-balakanda	1.88	translation
AKya	AKyA	ākhyā	сказать	01_mahabharata-adiparva	1.5.22-25	translation
AM	Am	ām	течь	08_rigveda	27.11	translation
ANgUza	ANgUza	āṅgūṣa	похвалу	01_rigveda	61.2	translation
ANgUzya	ANgUzyam	āṅgūṣyam	сопровождаемый восхвалением	01_rigveda	62.2	translation
ANgeyI	ANgeyIm	āṅgeyīm	дочери царя страны Анга	01_mahabharata-adiparva	1.90.19-30	translation
ANgirasI	ANgirasI	āṅgirasī	происходившая из рода Ангираса	01_mahabharata-adiparva	1.173.20-24	translation
ANgirasa	ANgirasa	āṅgirasa	Ангираса	manavadharmashastra	2.151	translation
APalodayakarman	APalodayakarman	āphalodayakarman	доводили начинания до успешного завершения	raghuvamsha	1.5-10	translation
APalya	APalya	āphalya	плодотворность	nyaya-bhashya	4.1.19	translation
AQaka	AQaka	āḍhaka	адхака	nyaya-bhashya	2.2.1	translation
AQya	AQya	āḍhya	богатым	02_ramayana-ayodhyakanda	10.33	translation
ARava	ARava	āṇava	атомарность	pratyabhijna-hridaya_kshemaraja	1.1.7	translation
ARi	ARim	āṇim	чеке	01_rigveda	35.6	translation
ARqIka	ARqIka	āṇḍīka	с клубнем	05_atharvaveda	17.16	translation
ARqa	ARqA	āṇḍā	яйца	01_rigveda	104.8	translation
ARqaja	ARqaja	āṇḍaja	рожденные из яйца	ch-up	6.3.1	translation
ARqakapAla	ARqakapAla	āṇḍakapāla	половин скорлупы яйца	ch-up	3.19.1	translation
ASA	ASA	āśā	сторон света	01_atharvaveda	31.1	translation
ASABaNga	ASABaNga	āśābhaṅga	обманывают надежд	07_mahabharata-dronaparva	7.32.5-14	translation
ASAbanDa	ASAbanDa	āśābandha	Надежды лучъ	megha-duta	1.9	translation
ASApAla	ASApAla	āśāpāla	Хранителей	01_atharvaveda	31.1	translation
ASAs	ASAsya	āśāsya	пожелав	02_ramayana-ayodhyakanda	6.3	translation
ASAsaMSita	ASAsaMSita	āśāsaṃśita	отточенный областями неба	10_atharvaveda	5.29	translation
ASAvaha	ASAvaha	āśāvaha	Ашваха	01_mahabharata-adiparva	1.1.39-48	translation
ASAvat	ASAvat	āśāvat	Жажду	buddhacharita	2.40	translation
ASI	ASIr	āśīr	благословением	02_ramayana-ayodhyakanda	15.22	translation
ASIrgeya	ASIrgeya	āśīrgeya	Благословения	02_ramayana-ayodhyakanda	65.6	translation
ASIrvAdABiDAnavat	ASIrvAdABiDAnavat	āśīrvādābhidhānavat	содержащее благословение	manavadharmashastra	2.33	translation
ASIrvAda	ASIrvAda	āśīrvāda	благословениями	01_mahabharata-adiparva	1.24.7-9	translation
ASIviza	ASIviza	āśīviṣa	ядовитую змею	02_ramayana-ayodhyakanda	7.27	translation
ASa	ASam	āśam	Надежды	02_ramayana-ayodhyakanda	75.50	translation
ASaMs	ASaMsase	āśaṃsase	желать	02_ramayana-ayodhyakanda	12.31	translation
ASaNk	ASaNket	āśaṅket	ожидает	manavadharmashastra	7.188	translation
ASaNkA	ASaNke	āśaṅke	боюсь	03_ramayana-aranyakanda	31.38	translation
ASarIka	ASarIka	āśarīka	Ломоту	19_atharvaveda	34.10	translation
ASas	ASasana	āśasana	резание	10_rigveda	85.35	translation
ASasana	ASasanaM	āśasanaṃ	разрезание	05_atharvaveda	19.5	translation
ASaya	ASayA	āśayā	В надежде	02_ramayana-ayodhyakanda	59.3	translation
AScarya	AScarya	āścarya	чудо	01_mahabharata-adiparva	1.2.212-219	translation
AScaryaBUta	AScaryaBUta	āścaryabhūta	о твоих деяниях	01_ramayana-balakanda	65.36	translation
AScaryarUpa	AScaryarUpam	āścaryarūpam	удивительный	07_mahabharata-dronaparva	7.154.57-63	translation
ASi	ASas	āśas	намеренно	10_rigveda	164.3	translation
ASin	ASI	āśī	с зубами	03_ramayana-aranyakanda	19.3	translation
ASina	ASineByaH	āśinebhyaḥ	достигшим (старости)	01_rigveda	27.13	translation
ASir	ASIr	āśīr	благословением	02_ramayana-ayodhyakanda	15.22	translation
ASira	ASira	āśira	добавления молока	08_rigveda	2.10	translation
ASis	ASIr	āśīr	благословением	02_ramayana-ayodhyakanda	15.22	translation
ASizWa	ASizWa	āśiṣṭha	самые быстрые	02_rigveda	24.13	translation
ASlezA	ASlezA	āśleṣā	Ашлеша	19_atharvaveda	7.2	translation
ASleza	ASleza	āśleṣa	обняв	02_mahabharata-sabhaparva	2.70.1-3	translation
ASliz	ASlizya	āśliṣya	обнял	03_ramayana-aranyakanda	8.10	translation
ASlizwa	ASlizwa	āśliṣṭa	обнявшись	01_mahabharata-adiparva	1.126.21-33	translation
ASrAvya	ASrAvya	āśrāvya	Ашравья	02_mahabharata-sabhaparva	2.7.14-20	translation
ASramAlaya	ASramAlaya	āśramālaya	жители святых обителей	raghuvamsha	12.13-19	translation
ASrama	ASrama	āśrama	обитель	01_mahabharata-adiparva	1.1.52-55	translation
ASramaBrazwa	ASramaBrazwa	āśramabhraṣṭa	неправомерно оставивших стадии жизни	jabala-up	5.4	translation
ASramamaRqala	ASramamaRqalam	āśramamaṇḍalam	обители	03_mahabharata-aranyakaparva	3.61.56-63	translation
ASramapada	ASramapada	āśramapada	пустынь	01_mahabharata-adiparva	1.2.212-219	translation
ASramasTAna	ASramasTAnezu	āśramasthāneṣu	обитель	02_ramayana-ayodhyakanda	116.16	translation
ASramavAsin	ASramavAsin	āśramavāsin	живущие в его обители	01_ramayana-balakanda	4.5	translation
ASramin	ASramin	āśramin	ашрамам	manavadharmashastra	3.78	translation
ASrava	ASrave	āśrave	чтобы слышал	15_mahabharata-ashramavasikaparva	15.33.17-29	translation
ASraya	ASraya	āśraya	основа	01_mahabharata-adiparva	1.2.234-243	translation
ASrayaRIyatva	ASrayaRIyatva	āśrayaṇīyatva	почитают	raghuvamsha	17.58-75	translation
ASrayaRa	ASrayaRa	āśrayaṇa	убежище	shv-up	2.10	translation
ASrayatva	ASrayatva	āśrayatva	субстратом	nyaya-bhashya	4.2.28	translation
ASrayavat	ASrayavAn	āśrayavān	с подмогой	03_mahabharata-aranyakaparva	3.264.12-24	translation
ASrayin	ASrayin	āśrayin	имеющие опору	sankhya-karika	43.1	translation
ASrezA	ASreza	āśreṣa	Обнимателя	08_atharvaveda	6.2	translation
ASri	ASraya	āśraya	основа	01_mahabharata-adiparva	1.2.234-243	translation
ASrita	ASrita	āśrita	по	01_mahabharata-adiparva	1.16.32-40	translation
ASritatva	ASritatva	āśritatva	опираясь на	jabala-up	6.1	translation
ASru	ASrutya	āśrutya	Видя	03_ramayana-aranyakanda	45.38	translation
ASrutkarRa	ASrutkarRa	āśrutkarṇa	чуткий	01_rigveda	10.9	translation
ASu	iti	iti	что	01_mahabharata-adiparva	1.1.73-78	translation
ASuMga	ASuNga	āśuṅga	ашунга	06_atharvaveda	14.3	translation
ASuSukzaRi	ASuSukzaRis	āśuśukṣaṇis	радостно пылающий	02_rigveda	1.1	translation
ASugAmin	ASugAmin	āśugāmin	быстроходной	01_mahabharata-adiparva	1.132.1-17	translation
ASuga	ASuga	āśuga	быстрыми	02_ramayana-ayodhyakanda	16.30	translation
ASuheman	ASuheman	āśuheman	Быстрым стремлениям	01_rigveda	116.2	translation
ASuhezas	ASuhezasA	āśuheṣasā	погоняющих быстрых коней	08_rigveda	10.2	translation
ASukArin	ASukAriRam	āśukāriṇam	быстро мчавшегося	07_mahabharata-dronaparva	7.12.22-28	translation
ASumat	ASumat	āśumat	Стремительно	06_atharvaveda	105.1	translation
ASupatvan	ASupatvA	āśupatvā	Быстро летящий	04_rigveda	26.4	translation
ASutva	ASutva	āśutva	быстро	03_mahabharata-aranyakaparva	3.166.16-23	translation
ASuvikrama	ASuvikramAt	āśuvikramāt	из-за быстрого движения	01_mahabharata-adiparva	1.217.1-15	translation
ASuyA	ASuyA	āśuyā	быстро	04_rigveda	4.2	translation
ASuz	ASuzARAH	āśuṣāṇāḥ	возбужденные	01_rigveda	147.1	translation
ASuzARa	ASuzARa	āśuṣāṇa	возбуждаясь	05_rigveda	36.4	translation
ASvAsa	ASvAsa	āśvāsa	надежды	gitarthasamgraha-abhinavagupta	13.7	translation
ASvAsana	ASvAsana	āśvāsana	ободрением	kama-sutra	5.1.49	translation
ASva	ASvAs	āśvās	обресть утешение	03_mahabharata-aranyakaparva	3.78.10-13	translation
ASvaGna	ASvaGnasya	āśvaghnasya	Ашвагхны	10_rigveda	61.21	translation
ASvaSva	ASvaSvA	āśvaśvā	на быстрых конях	05_rigveda	58.1	translation
ASvalAyana	ASvalAyanaH	āśvalāyanaḥ	Ашвалаяна	pr-up	1.1	translation
ASvameDa	ASvameDa	āśvamedha	Ашвамедхи	08_rigveda	68.15	translation
ASvas	ASvasta	āśvasta	очнувшись	01_mahabharata-adiparva	1.1.160-161	translation
ASvayujI	ASvayujI	āśvayujī	ашваюджи	kama-sutra	3.3.20	translation
ASvayuja	ASvayuja	āśvayuja	ашваюджа	manavadharmashastra	6.15	translation
ASvinI	ASvinIH	āśvinīḥ	посвященные Ашвинам (потоки)	09_rigveda	86.4	translation
ASvina	ASvinAv	āśvināv	Ашвины	01_rigveda	30.17	translation
ASvineya	ASvineya	āśvineya	Сын Ашвинов	02_mahabharata-sabhaparva	2.28.1-15	commentary
ATarvaRa	ATarvaRa	ātharvaṇa	сын Атхарвана	01_rigveda	116.12	translation
ATarvaRi	ATarvaRi	ātharvaṇi	Атхарвану	br-up	2.5.17	translation
AYc	Acita	ācita	усеянную	01_mahabharata-adiparva	1.15.5-13	translation
AYj	Ajya	ājya	маслом	02_ramayana-ayodhyakanda	6.2	translation
AYjanAByaYjanA	AYjanAByaYjana	āñjanābhyañjana	мазь и притирание	09_atharvaveda	6.11	translation
AYjana	AYjana	āñjana	притиранием	10_rigveda	18.7	translation
AbADa	AbADa	ābādha	натиск	08_rigveda	23.3	translation
AbadDa	AbadDAByAm	ābaddhābhyām	надев	01_mahabharata-adiparva	1.3.96-100	translation
AbadDamAla	AbadDamAlA	ābaddhamālā	обвивъ кольцомъ	megha-duta	1.10	translation
AbanD	AbaDnan	ābadhnan	привязали	01_atharvaveda	35.1	translation
Abayu	Abayo	ābayo	Пожирающая	06_atharvaveda	16.1	translation
Abrahma	Abrahma	ābrahma	вплоть до мира Брахмана	gitarthasamgraha-abhinavagupta	8.16	translation
AcAma	AcAma	ācāma	водой, в которой кипятился рис	kama-sutra	4.1.33	translation
AcAra	AcAra	ācāra	долгу	12_mahabharata-shantiparva	12.7.1-10	translation
AcArahIna	AcArahIna	ācārahīna	не следующий правилам добродетельного поведения	manavadharmashastra	3.165	translation
AcAravarjita	AcAravarjita	ācāravarjita	не придерживается правил	05_ramayana-sundarakanda	21.9	translation
AcAravat	AcAravat	ācāravat	следующей дхарме	05_ramayana-sundarakanda	19.10	translation
AcAryA	AcAryA	ācāryā	наставники	04_mahabharata-virataparva	4.42.26-31	translation
AcArya	AcArya	ācārya	учитель	01_mahabharata-adiparva	1.1.139-147	translation
AcAryadeva	AcAryadeva	ācāryadeva	Чти учителя, как бога	tai-up	1.11.2	translation
AcAryajAyA	AcAryajAyA	ācāryajāyā	жена учителя	ch-up	4.10.3	translation
AcAryaka	AcAryaka	ācāryaka	мера обучения	07_mahabharata-dronaparva	7.52.24-32	translation
AcAryatA	AcAryatA	ācāryatā	достоинство наставника	05_mahabharata-udyogaparva	5.180.18-26	translation
AcAryavat	AcAryavat	ācāryavat	подобно наставнику	07_mahabharata-dronaparva	7.106.24-30	translation
AcAryopAsana	AcAryopAsana	ācāryopāsana	служение наставнику	06_mahabharata-bhishmaparva	6.35.7	translation
AcCAda	AcCAda	ācchāda	платье	manavadharmashastra	7.126	translation
AcCAdaka	AcCAdikA	ācchādikā	скрывающее	vedartha-samgraha_ramanuja	29	translation
AcCAdana	AcCAdana	ācchādana	одевании	03_mahabharata-aranyakaparva	3.222.34-46	translation
AcCad	AcCanna	ācchanna	облачишься	03_mahabharata-aranyakaparva	3.63.19-24	translation
AcCadviDAna	AcCadviDAna	ācchadvidhāna	Спрятанный теми, кто поставлен (тебя) скрывать	10_rigveda	85.4	translation
AcCid	AcCinat	ācchinat	рассекла	01_mahabharata-adiparva	1.29.1-11	translation
AcCo	AcCA	ācchā	к	03_rigveda	42.3	translation
AcCuritaka	AcCuritaka	ācchuritaka	звучащая	kama-sutra	2.4.4	translation
AcIrRa	AcIrRa	ācīrṇa	несут	02_ramayana-ayodhyakanda	109.19	translation
Acakz	Acakzva	ācakṣva	расскажи	01_mahabharata-adiparva	1.5.10	translation
Acam	Acamya	ācamya	отпил	02_ramayana-ayodhyakanda	52.79	translation
AcamanIya	AcamanIya	ācamanīya	уст	03_ramayana-aranyakanda	74.7	translation
Acamana	Acamana	ācamana	ополаскивание	kama-sutra	3.4.18	translation
Acar	Acaranti	ācaranti	совершают	01_mahabharata-adiparva	1.3.68	translation
AcaraRa	AcaraRezu	ācaraṇeṣu	к приходам	01_rigveda	48.3	translation
Acarita	Acarita	ācarita	бродят	01_mahabharata-adiparva	1.15.5-13	translation
Acarya	Acarya	ācarya	учитель	ch-up	4.9.1	translation
Aci	Acita	ācita	усеянную	01_mahabharata-adiparva	1.15.5-13	translation
Acit	AcitA	ācitā	покрытой	06_mahabharata-bhishmaparva	6.74.30-36	translation
Acita	Acita	ācita	усеянную	01_mahabharata-adiparva	1.15.5-13	translation
Acyu	AcucyuvImahi	ācucyuvīmahi	Пригнать	08_rigveda	9.9	translation
AdA	Adi	ādi	другие	01_mahabharata-adiparva	1.1.148-156	translation
AdAna	AdAna	ādāna	получением	02_ramayana-ayodhyakanda	105.33	translation
AdIp	AdIpta	ādīpta	огненных	02_ramayana-ayodhyakanda	56.6	translation
Ada	AdAya	ādāya	вместе с	01_mahabharata-adiparva	1.2.220-229	translation
AdaB	AdaBe	ādabhe	для того, чтобы их повредить	08_rigveda	21.16	translation
AdaGna	AdaGnAsaH	ādaghnāsaḥ	до рта	10_rigveda	71.7	translation
Adadi	Adadir	ādadir	принимает	01_rigveda	127.6	translation
AdarSa	AdarSe	ādarśe	в зеркале	01_mahabharata-adiparva	1.1.191-197	translation
Adara	AdarAt	ādarāt	после раздумья	02_ramayana-ayodhyakanda	53.34	translation
Adardira	Adardira	ādardira	дробящий	10_rigveda	78.6	translation
AdeSa	AdeSa	ādeśa	Предсказание	02_ramayana-ayodhyakanda	29.10	translation
AdeSana	AdeSana	ādeśana	исполнение	manavadharmashastra	2.173	translation
Adeva	Adeva	ādeva	не-бог	08_rigveda	59.2	translation
Adf	Adriyante	ādriyante	перестают уважать	01_mahabharata-adiparva	1.25.10-17	translation
AdfS	ApaSyat	āpaśyat	увидел	01_mahabharata-adiparva	1.3.147-149	translation
Adfta	AdftAH	ādṛtāḥ	почтены	manavadharmashastra	2.234	translation
Adi	sA	sā	ее	01_atharvaveda	14.2	translation
AdiBUta	AdiBUta	ādibhūta	изначальной	devi-gita	2.25	translation
AdiS	AdideSa	ādideśa	Приказал	02_ramayana-ayodhyakanda	3.8	translation
AdiSarIra	AdiSarIra	ādiśarīra	изначально сотворено	03_mahabharata-aranyakaparva	3.181.21-31	translation
Adideva	Adideva	ādideva	Изначальный Бог	03_mahabharata-aranyakaparva	3.88.21-27	translation
Adih	AdigDa	ādigdha	обагренные	03_ramayana-aranyakanda	26.32	translation
AdikAla	AdikAle	ādikāle	в начале времен	buddhacharita	2.51	translation
AdikAraRa	AdikAraRa	ādikāraṇa	причина	gitarthasamgraha-abhinavagupta	7.11	translation
Adika	Adika	ādika	Адика	01_mahabharata-adiparva	1.31.5-15	translation
Adikartf	Adikartf	ādikartṛ	изначальному творцу	06_mahabharata-bhishmaparva	6.33.37	translation
Adimat	Adimat	ādimat	имея начало	nyaya-bhashya	2.2.14	translation
Adimattva	Adimattva	ādimattva	имеет начало	nyaya-bhashya	2.2.14	translation
Adin	Adi	ādi	другие	01_mahabharata-adiparva	1.1.148-156	translation
AdinATa	AdinATa	ādinātha	Адинатхом	hatha-yoga-pradipika	3.8	translation
Adinava	Adinava	ādinava	Неудачу	07_atharvaveda	114.4	translation
AdirUpa	AdirUpeRa	ādirūpeṇa	посредством	gitarthasamgraha-abhinavagupta	16.0	translation
Adisarga	Adisarga	ādisarga	начало миросозидания	sankhya-karika	43.2	translation
AditA	Adite	ādite	о Адити	08_rigveda	67.14	translation
Aditas	AditaH	āditaḥ	сначала	manavadharmashastra	1.58	translation
Aditeya	Aditeyam	āditeyam	сына Адити	10_rigveda	88.11	translation
AdityA	AdityA	ādityā	Адитьи	01_rigveda	41.5	translation
Aditya	Aditya	āditya	Адитьи	01_atharvaveda	9.1	translation
Adityadevata	Adityadevata	ādityadevata	Божество Адитья	br-up	3.9.20	translation
Adityagata	Adityagata	ādityagata	исходя от солнца	06_mahabharata-bhishmaparva	6.37.12	translation
AdityajUta	AdityajUta	ādityajūta	поощряемый Адитьями	08_rigveda	46.5	translation
Adityajyotis	Adityajyotis	ādityajyotis	свет солнца	br-up	4.3.2	translation
Adityaketu	Adityaketu	ādityaketu	Адитьякету	06_mahabharata-bhishmaparva	6.84.14-19	translation
Adityaloka	Adityaloka	ādityaloka	мир Адитьи	03_mahabharata-aranyakaparva	3.81.160-162	translation
AdityamaRqala	AdityamaRqala	ādityamaṇḍala	солнечный диск	06_mahabharata-bhishmaparva	6.116.1-8	translation
AdityatIrTa	AdityatIrTa	ādityatīrtha	к месту священных омовений Адитьи	09_mahabharata-shalyaparva	9.48.11-16	translation
Adityatva	Adityatvam	ādityatvam	качество солнца	ch-up	6.4.2	translation
AdityavarRa	AdityavarRa	ādityavarṇa	сверкающей солнцем	03_mahabharata-aranyakaparva	3.221.1-10	translation
Adityavat	Adityavat	ādityavat	подобно солнцу	01_mahabharata-adiparva	1.3.139-146	translation
AdivaMSa	AdivaMSa	ādivaṃśa	древнейшие генеалогии	01_mahabharata-adiparva	1.5.1-3	translation
Adizwin	AdizwI	ādiṣṭī	ученику	manavadharmashastra	5.88	translation
Ado	Adya	ādya	изначальному	01_mahabharata-adiparva	1.1.20-26	translation
Adru	Adravat	ādravat	бросился	03_mahabharata-aranyakaparva	3.234.20-28	translation
Adu	Adava	ādava	ядавы	16_mahabharata-mausalaparva	16.5.1-5	translation
Aduh	AduhuH	āduhuḥ	выдаивают	09_rigveda	72.2	translation
Aduri	Adure	ādure	внимательный	04_rigveda	30.24	translation
Adya	Adya	ādya	изначальному	01_mahabharata-adiparva	1.1.20-26	translation
Adyanta	Adyanta	ādyanta	преходящи	bhagavadgity	5.22	translation
Adyantavat	Adyantavat	ādyantavat	приходят и уходят	ramanuja_gitabhashya	5.22	translation
AgA	AgAt	āgāt	отправляется	01_mahabharata-adiparva	1.2.136-153	translation
AgAmin	AgAmi	āgāmi	возлюбленной	kama-sutra	2.5.19	translation
AgAra	AgAre	āgāre	во внутренних покоях дворца	04_mahabharata-virataparva	4.18.1-8	translation
AgE	AgAtf	āgātṛ	доставляет пением	ch-up	1.2.14	translation
AgF	Ajagara	ājagara	об удаве	01_mahabharata-adiparva	1.2.42-48	translation
Agam	Agamad	āgamad	пришел	01_atharvaveda	8.2	translation
AgamApAyin	AgamApAyin	āgamāpāyin	приходят и уходят	06_mahabharata-bhishmaparva	6.24.14	translation
Agama	Agama	āgama	священных писаний	01_mahabharata-adiparva	1.2.31-32	translation
Agamana	Agamana	āgamana	прибытии	02_ramayana-ayodhyakanda	4.5	translation
AgamasaMhita	AgamasaMhita	āgamasaṃhita	Подкрепляемую примерами	buddhacharita	4.83	translation
Agamin	AgaminaH	āgaminaḥ	Сведущие в агамах	yoga-sutry_vyasa-bhashya	1.27b	translation
AgamizWa	AgamizWa	āgamiṣṭha	Охотнее всего приезжает	03_rigveda	58.9	translation
Agantf	AgantA	āgantā	придет	03_mahabharata-aranyakaparva	3.284.10-20	translation
Agantu	Agantum	āgantum	уходить	02_ramayana-ayodhyakanda	100.4	translation
Agantuka	Agantuka	āgantuka	временного	gitarthasamgraha-abhinavagupta	3.36	translation
Agara	Agare	āgare	хвастливо	04_atharvaveda	36.3	translation
Agas	Agas	āgas	преступлениях	manavadharmashastra	9.241	translation
Agaskft	Agaskft	āgaskṛt	грешный	06_mahabharata-bhishmaparva	6.99.39-43	translation
Agaskfta	Agaskfta	āgaskṛta	совершил грех	03_mahabharata-aranyakaparva	3.198.1-4	translation
