adhyaya	verse	gold_form	gold_lemma	gold_pos	dcs_form	dcs_lemma	dcs_upos	class	lemma_match	pos_match	convention	n_gold	n_dcs
1	1.02	duryodhanaḥ	dur-yodhana	nominal	duryodhanaḥ	duryodhana	nominal	MATCH	yes	yes		1	1
1	1.02	tadā	tadā	indecl	tadā	tadā	indecl	MATCH	yes	yes		1	1
1	1.02	ācāryam	ācārya	nominal	ācāryam	ācārya	nominal	MATCH	yes	yes		1	1
1	1.02	upasaṅgamya	upa-sam-√gam	unknown	upasaṃgamya	upasaṃgam	verb	LEMMA_CONVENTION+POS_DIVERGE	no	no	nasal-class	1	1
1	1.02	rājā	rājan	nominal	rājā	rājan	nominal	MATCH	yes	yes		1	1
1	1.02	vacanam	vacana	nominal	vacanam	vacana	nominal	MATCH	yes	yes		1	1
1	1.02	abravīt	√brū	verb	abravīt	brū	verb	MATCH	yes	yes		1	1
1	1.03	paśya	√dṛś	verb	paśya	paś	verb	LEMMA_DIVERGE	no	yes		1	1
1	1.03	etām	etat	nominal	etām	etad	nominal	LEMMA_CONVENTION	no	yes	pronoun-stem	1	1
1	1.03	pāṇḍu-putrāṇām	pāṇḍu-putra	nominal	pāṇḍu|putrāṇām	pāṇḍu|putra	nominal|nominal	COMPOUND_SPLIT	n/a	n/a		1	2
1	1.03	ācārya	ācārya	nominal	ācārya	ācārya	nominal	MATCH	yes	yes		1	1
1	1.03	mahatīm	mahatī	nominal	mahatīṃ	mahat	indecl	LEMMA_CONVENTION+POS_DIVERGE	no	no	vowel-sandhi/contraction	1	1
1	1.03	camūm	camū	nominal	camūm	camū	nominal	MATCH	yes	yes		1	1
1	1.03	vyūḍhām	vyūḍhā	nominal	vyūḍhāṃ	vyūh	verb	LEMMA+POS_DIVERGE	no	no		1	1
1	1.03	drupada-putreṇa	drupada-putra	nominal	drupada|putreṇa	drupada|putra	nominal|nominal	COMPOUND_SPLIT	n/a	n/a		1	2
1	1.03	tava	yuṣmat	nominal	tava	tvad	nominal	LEMMA_CONVENTION	no	yes	pronoun-stem	1	1
1	1.03	śiṣyeṇa	śiṣya	nominal	śiṣyeṇa	śiṣya	nominal	MATCH	yes	yes		1	1
1	1.03	dhīmatā	dhīmant	nominal	dhīmatā	dhīmat	indecl	LEMMA_CONVENTION+POS_DIVERGE	no	no	final-t/d+n	1	1
1	1.04	atra	atra	indecl	atra	atra	indecl	MATCH	yes	yes		1	1
1	1.04	śūrāḥ	śūra	nominal	śūrā	śūra	nominal	MATCH	yes	yes		1	1
1	1.04	maheṣv-āsāḥ	mahā-iṣu-āsa	nominal	mahā|iṣvāsāḥ	mahat|iṣvāsa	indecl|nominal	COMPOUND_SPLIT	n/a	n/a		1	2
1	1.04	bhīmārjuna-samāḥ	bhīma-arjuna-sama	nominal	bhīma|arjuna|samāḥ	bhīma|arjuna|sama	nominal|nominal|nominal	COMPOUND_SPLIT	n/a	n/a		1	3
1	1.04	yudhi	yudh	nominal	yudhi	yudh	nominal	MATCH	yes	yes		1	1
1	1.04	yuyudhānaḥ	yuyudhāna	nominal	yuyudhāno	yuyudhāna	nominal	MATCH	yes	yes		1	1
1	1.04	virāṭaḥ	virāṭa	nominal	virāṭaḥ	virāṭa	nominal	MATCH	yes	yes		1	1
1	1.04	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.04	drupadaḥ	dru-pada	nominal	drupadaḥ	drupada	nominal	MATCH	yes	yes		1	1
1	1.04	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.04	mahā-rathaḥ	mahā-ratha	nominal	mahā|rathaḥ	mahat|ratha	indecl|nominal	COMPOUND_SPLIT	n/a	n/a		1	2
1	1.05	dhṛṣṭa-ketuḥ	dhṛṣṭa-ketu	nominal	dhṛṣṭaketuḥ	dhṛṣṭaketu	nominal	MATCH	yes	yes		1	1
1	1.05	cekitānaḥ	cekitāna	nominal	cekitānaḥ	cekitāna	nominal	MATCH	yes	yes		1	1
1	1.05	kāśi-rājaḥ	kāśi-rāja	nominal	kāśi|rājaḥ	kāśi|rāja	nominal|nominal	COMPOUND_SPLIT	n/a	n/a		1	2
1	1.05	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.05	vīryavān	vīrya-vant	nominal	vīryavān	vīryavat	indecl	LEMMA_CONVENTION+POS_DIVERGE	no	no	final-t/d+n	1	1
1	1.05	purujit	puru-jit	nominal	purujit	purujit	nominal	MATCH	yes	yes		1	1
1	1.05	kunti-bhojaḥ	kunti-bhoja	nominal	kuntibhojaḥ	kuntibhoja	nominal	MATCH	yes	yes		1	1
1	1.05	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.05	śaibyaḥ	śaibya	nominal	śaibyaḥ	śaibya	nominal	MATCH	yes	yes		1	1
1	1.05	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.05	nara-puṁgavaḥ	nara-puṅgava	nominal	nara|puṃgavaḥ	nara|puṃgava	nominal|nominal	COMPOUND_SPLIT	n/a	n/a		1	2
1	1.06	yudhā-manyuḥ	yudhā-manyu	nominal	yudhāmanyuḥ	yudhāmanyu	nominal	MATCH	yes	yes		1	1
1	1.06	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.06	vikrāntaḥ	vikrānta	nominal	vikrānta	vikram	verb	LEMMA+POS_DIVERGE	no	no		1	1
1	1.06	uttamaujāḥ	uttama-ojas	nominal	uttamaujāḥ	uttamaujas	nominal	LEMMA_CONVENTION	no	yes	vowel-sandhi/contraction	1	1
1	1.06	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.06	vīryavān	vīrya-vant	nominal	vīryavān	vīryavat	indecl	LEMMA_CONVENTION+POS_DIVERGE	no	no	final-t/d+n	1	1
1	1.06	saubhadraḥ	saubhadra	nominal	saubhadro	saubhadra	nominal	MATCH	yes	yes		1	1
1	1.06	draupadeyāḥ	draupadeya	nominal	draupadeyāḥ	draupadeya	nominal	MATCH	yes	yes		1	1
1	1.06	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.06	sarve	sarva	nominal	sarva	sarva	nominal	MATCH	yes	yes		1	1
1	1.06	eva	eva	indecl	eva	eva	indecl	MATCH	yes	yes		1	1
1	1.06	mahā-rathāḥ	mahā-ratha	nominal	mahā|rathāḥ	mahat|ratha	indecl|nominal	COMPOUND_SPLIT	n/a	n/a		1	2
1	1.07	asmākam	asmat	nominal	asmākaṃ	mad	nominal	LEMMA_CONVENTION	no	yes	pronoun-stem	1	1
1	1.07	tu	tu	indecl	tu	tu	indecl	MATCH	yes	yes		1	1
1	1.07	viśiṣṭāḥ	viśiṣṭa	nominal	viśiṣṭā	viśiṣ	verb	LEMMA+POS_DIVERGE	no	no		1	1
1	1.07	ye	yat	nominal	ye	yad	nominal	LEMMA_CONVENTION	no	yes	pronoun-stem	1	1
1	1.07	tān	tat	nominal	tān	tad	nominal	LEMMA_CONVENTION	no	yes	pronoun-stem	1	1
1	1.07	nibodha	ni-√budh	verb	nibodha	nibudh	verb	MATCH	yes	yes		1	1
1	1.07	dvijottama	dvi-ja-uttama	nominal	dvijottama	dvijottama	nominal	LEMMA_CONVENTION	no	yes	vowel-sandhi/contraction	1	1
1	1.07	nāyakāḥ	nāyaka	nominal	nāyakā	nāyaka	nominal	MATCH	yes	yes		1	1
1	1.07	mama	asmat	nominal	mama	mad	nominal	LEMMA_CONVENTION	no	yes	pronoun-stem	1	1
1	1.07	sainyasya	sainya	nominal	sainyasya	sainya	nominal	MATCH	yes	yes		1	1
1	1.07	saṁjñā-artham	saṁjñā-artham	indecl	saṃjñā|artham	saṃjñā|artha	nominal|nominal	COMPOUND_SPLIT	n/a	n/a		1	2
1	1.07	tān	tat	nominal	tān	tad	nominal	LEMMA_CONVENTION	no	yes	pronoun-stem	1	1
1	1.07	bravīmi	√brū	verb	bravīmi	brū	verb	MATCH	yes	yes		1	1
1	1.07	te	yuṣmat	nominal	te	tvad	nominal	LEMMA_CONVENTION	no	yes	pronoun-stem	1	1
1	1.08	bhavān	bhavant	nominal	bhavān	bhavat	indecl	LEMMA_CONVENTION+POS_DIVERGE	no	no	final-t/d+n	1	1
1	1.08	bhīṣmaḥ	bhīṣma	nominal	bhīṣmaḥ	bhīṣma	nominal	MATCH	yes	yes		1	1
1	1.08	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.08	karṇaḥ	karṇa	nominal	karṇaḥ	karṇa	nominal	MATCH	yes	yes		1	1
1	1.08	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.08	kṛpaḥ	kṛpa	nominal	kṛpaḥ	kṛpa	nominal	MATCH	yes	yes		1	1
1	1.08	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.08	samitiṁ-jayaḥ	samitiṁ-jaya	nominal	samitiṃjayaḥ	samitiṃjaya	indecl	POS_DIVERGE	yes	no		1	1
1	1.08	aśvatthāmā	aśva-sthā-man	nominal	aśvatthāmā	aśvatthāman	nominal	LEMMA_DIVERGE	no	yes		1	1
1	1.08	vikarṇaḥ	vi-karṇa	nominal	vikarṇaḥ	vikarṇa	nominal	MATCH	yes	yes		1	1
1	1.08	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.08	saumadattiḥ	sauma-datti	nominal	saumadattiḥ	saumadatti	nominal	MATCH	yes	yes		1	1
1	1.08	tathā	tathā	indecl	tathā	tathā	indecl	MATCH	yes	yes		1	1
1	1.08	eva	eva	indecl	eva	eva	indecl	MATCH	yes	yes		1	1
1	1.08	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.09	anye	anya	nominal	anye	anya	nominal	MATCH	yes	yes		1	1
1	1.09	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.09	bahavaḥ	bahu	nominal	bahavaḥ	bahu	indecl	POS_DIVERGE	yes	no		1	1
1	1.09	śūrāḥ	śūra	nominal	śūrā	śūra	nominal	MATCH	yes	yes		1	1
1	1.09	mad-arthe	mad-artha	nominal	mad|arthe	mad|artha	nominal|nominal	COMPOUND_SPLIT	n/a	n/a		1	2
1	1.09	tyakta-jīvitāḥ	tyakta-jīvita	nominal	tyakta|jīvitāḥ	tyaj|jīvita	verb|nominal	COMPOUND_SPLIT	n/a	n/a		1	2
1	1.09	nānā-śastra-praharaṇāḥ	nānā-śastra-praharaṇa	nominal	nānā|śastra|praharaṇāḥ	nānā|śastra|praharaṇa	indecl|nominal|nominal	COMPOUND_SPLIT	n/a	n/a		1	3
1	1.09	sarve	sarva	nominal	sarve	sarva	nominal	MATCH	yes	yes		1	1
1	1.09	yuddha-viśāradāḥ	yuddha-viśārada	nominal	yuddha|viśāradāḥ	yuddha|viśārada	nominal|indecl	COMPOUND_SPLIT	n/a	n/a		1	2
1	1.10	aparyāptam	a-pari-āpta	nominal	aparyāptaṃ	aparyāpta	indecl	LEMMA+POS_DIVERGE	no	no		1	1
1	1.10	tat	tat	nominal	tat	tad	nominal	LEMMA_CONVENTION	no	yes	pronoun-stem	1	1
1	1.10	asmākam	asmat	nominal	asmākam	mad	nominal	LEMMA_CONVENTION	no	yes	pronoun-stem	1	1
1	1.10	balam	bala	nominal	balaṃ	bala	nominal	MATCH	yes	yes		1	1
1	1.10	bhīṣmābhirakṣitam	bhīṣma-abhi-rakṣita	nominal	bhīṣma|abhirakṣitam	bhīṣma|abhirakṣ	nominal|verb	COMPOUND_SPLIT	n/a	n/a		1	2
1	1.10	paryāptam	pari-āpta	nominal	paryāptaṃ	paryāp	verb	LEMMA+POS_DIVERGE	no	no		1	1
1	1.10	tu	tu	indecl	tu	tu	indecl	MATCH	yes	yes		1	1
1	1.10	idam	idam	nominal	idam	idam	nominal	MATCH	yes	yes		1	1
1	1.10	eteṣām	etat	nominal	eteṣām	etad	nominal	LEMMA_CONVENTION	no	yes	pronoun-stem	1	1
1	1.10	balam	bala	nominal	balaṃ	bala	nominal	MATCH	yes	yes		1	1
1	1.10	bhīmābhirakṣitam	bhīma-abhi-rakṣita	nominal	bhīma|abhirakṣitam	bhīma|abhirakṣ	nominal|verb	COMPOUND_SPLIT	n/a	n/a		1	2
1	1.11	ayaneṣu	ayana	nominal	ayaneṣu	ayana	nominal	MATCH	yes	yes		1	1
1	1.11	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.11	sarveṣu	sarva	nominal	sarveṣu	sarva	nominal	MATCH	yes	yes		1	1
1	1.11	yathā bhāgam	yathā bhāgam	indecl	yathābhāgam	yathābhāgam	indecl	MATCH	yes	yes		1	1
1	1.11	avasthitāḥ	avasthita	nominal	avasthitāḥ	avasthā	verb	LEMMA+POS_DIVERGE	no	no		1	1
1	1.11	bhīṣmam	bhīṣma	nominal	bhīṣmam	bhīṣma	nominal	MATCH	yes	yes		1	1
1	1.11	eva	eva	indecl	eva	eva	indecl	MATCH	yes	yes		1	1
1	1.11	abhirakṣantu	abhi-√rakṣ	verb	abhirakṣantu	abhirakṣ	verb	MATCH	yes	yes		1	1
1	1.11	bhavantaḥ	bhavant	nominal	bhavantaḥ	bhavat	indecl	LEMMA_CONVENTION+POS_DIVERGE	no	no	final-t/d+n	1	1
1	1.11	sarve	sarva	nominal	sarva	sarva	nominal	MATCH	yes	yes		1	1
1	1.11	eva	eva	indecl	eva	eva	indecl	MATCH	yes	yes		1	1
1	1.11	hi	hi	indecl	hi	hi	indecl	MATCH	yes	yes		1	1
1	1.12	tasya	tat	nominal	tasya	tad	nominal	LEMMA_CONVENTION	no	yes	pronoun-stem	1	1
1	1.12	saṁjanayan	sam-janayant	nominal	saṃjanayan	saṃjanay	verb	LEMMA+POS_DIVERGE	no	no		1	1
1	1.12	harṣaṁ	harṣa	nominal	harṣam	harṣa	nominal	MATCH	yes	yes		1	1
1	1.12	kuru-vṛddhaḥ	kuru-vṛddha	nominal	kuruvṛddhaḥ	kuruvṛddha	nominal	MATCH	yes	yes		1	1
1	1.12	pitā-mahaḥ	pitā-maha	nominal	pitāmahaḥ	pitāmaha	nominal	MATCH	yes	yes		1	1
1	1.12	siṁha-nādam	siṁha-nāda	nominal	siṃhanādaṃ	siṃhanāda	nominal	MATCH	yes	yes		1	1
1	1.12	vinadya	vi-√nad	unknown	vinadya	vinad	verb	POS_DIVERGE	yes	no		1	1
1	1.12	uccaiḥ	uccaiḥ	indecl	uccais	uccais	indecl	LEMMA_CONVENTION	no	yes	adverb--tas/-taḥ	1	1
1	1.12	śaṅkham	śaṅkha	nominal	śaṅkhaṃ	śaṅkha	nominal	MATCH	yes	yes		1	1
1	1.12	dadhmau	√dhmā	verb	dadhmau	dham	verb	LEMMA_CONVENTION	no	yes	vowel-sandhi/contraction	1	1
1	1.12	pratāpavān	pratāpa-vant	nominal	pratāpavān	pratāpavat	indecl	LEMMA_CONVENTION+POS_DIVERGE	no	no	final-t/d+n	1	1
1	1.13	tataḥ	tataḥ	indecl	tataḥ	tatas	indecl	LEMMA_CONVENTION	no	yes	adverb--tas/-taḥ	1	1
1	1.13	śaṅkhāḥ	śaṅkha	nominal	śaṅkhāḥ	śaṅkha	nominal	MATCH	yes	yes		1	1
1	1.13	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.13	bheryaḥ	bherī	nominal	bheryaḥ	bherī	nominal	MATCH	yes	yes		1	1
1	1.13	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.13	paṇavānaka-gomukhāḥ	paṇava-ānaka-gomukha	nominal	paṇava|ānaka|gomukhāḥ	paṇava|ānaka|gomukha	nominal|nominal|nominal	COMPOUND_SPLIT	n/a	n/a		1	3
1	1.13	sahasā	sahasā	indecl	sahasā	sahasā	indecl	MATCH	yes	yes		1	1
1	1.13	eva	eva	indecl	eva	eva	indecl	MATCH	yes	yes		1	1
1	1.13	abhyahanyanta	abhi-√han	verb	abhyahanyanta	abhihan	verb	MATCH	yes	yes		1	1
1	1.13	saḥ	tat	nominal	sa	tad	nominal	LEMMA_CONVENTION	no	yes	pronoun-stem	1	1
1	1.13	śabdaḥ	śabda	nominal	śabdaḥ	śabda	nominal	MATCH	yes	yes		1	1
1	1.13	tumulaḥ	tumula	nominal	tumulaḥ	tumula	indecl	POS_DIVERGE	yes	no		1	1
1	1.13	abhavat	√bhū	verb	'bhavat	bhū	verb	MATCH	yes	yes		1	1
1	1.14	tataḥ	tataḥ	indecl	tataḥ	tatas	indecl	LEMMA_CONVENTION	no	yes	adverb--tas/-taḥ	1	1
1	1.14	śvetaiḥ	śveta	nominal	śvetaiḥ	śveta	indecl	POS_DIVERGE	yes	no		1	1
1	1.14	hayaiḥ	haya	nominal	hayaiḥ	haya	nominal	MATCH	yes	yes		1	1
1	1.14	yukte	yukta	nominal	yukte	yuj	verb	LEMMA+POS_DIVERGE	no	no		1	1
1	1.14	mahati	mahant	nominal	mahati	mahat	indecl	LEMMA_CONVENTION+POS_DIVERGE	no	no	final-t/d+n	1	1
1	1.14	syandane	syandana	nominal	syandane	syandana	nominal	MATCH	yes	yes		1	1
1	1.14	sthitau	sthita	nominal	sthitau	sthā	verb	LEMMA+POS_DIVERGE	no	no		1	1
1	1.14	mādhavaḥ	mādhava	nominal	mādhavaḥ	mādhava	nominal	MATCH	yes	yes		1	1
1	1.14	pāṇḍavaḥ	pāṇḍava	nominal	pāṇḍavaḥ	pāṇḍava	nominal	MATCH	yes	yes		1	1
1	1.14	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.14	eva	eva	indecl	eva	eva	indecl	MATCH	yes	yes		1	1
1	1.14	divyau	divya	nominal	divyau	divya	indecl	POS_DIVERGE	yes	no		1	1
1	1.14	śaṅkhau	śaṅkha	nominal	śaṅkhau	śaṅkha	nominal	MATCH	yes	yes		1	1
1	1.14	pradadhmatuḥ	pra-√dhmā	verb	pradadhmatuḥ	pradham	verb	LEMMA_CONVENTION	no	yes	vowel-sandhi/contraction	1	1
1	1.15	pāñca-janyam	pāñca-janya	nominal	pāñcajanyaṃ	pāñcajanya	nominal	MATCH	yes	yes		1	1
1	1.15	hṛṣīkeśaḥ	hṛṣīkeśa	nominal	hṛṣīkeśo	hṛṣīkeśa	nominal	MATCH	yes	yes		1	1
1	1.15	deva-dattam	deva-datta	nominal	devadattaṃ	devadatta	nominal	MATCH	yes	yes		1	1
1	1.15	dhanaṁjayaḥ	dhanaṁ-jaya	nominal	dhanaṃjayaḥ	dhanaṃjaya	nominal	MATCH	yes	yes		1	1
1	1.15	pauṇḍram	pauṇḍra	nominal	pauṇḍraṃ	pauṇḍra	nominal	MATCH	yes	yes		1	1
1	1.15	dadhmau	√dhmā	verb	dadhmau	dham	verb	LEMMA_CONVENTION	no	yes	vowel-sandhi/contraction	1	1
1	1.15	mahā-śaṅkham	mahā-śaṅkha	nominal	mahā|śaṅkham	mahat|śaṅkha	indecl|nominal	COMPOUND_SPLIT	n/a	n/a		1	2
1	1.15	bhīma-karmā	bhīma-karman	nominal	bhīma|karmā	bhīma|karman	indecl|nominal	COMPOUND_SPLIT	n/a	n/a		1	2
1	1.15	vṛkodaraḥ	vṛka-udara	nominal	vṛkodaraḥ	vṛkodara	nominal	LEMMA_CONVENTION	no	yes	vowel-sandhi/contraction	1	1
1	1.16	ananta-vijayam	ananta-vijaya	nominal	anantavijayaṃ	anantavijaya	nominal	MATCH	yes	yes		1	1
1	1.16	rājā	rājan	nominal	rājā	rājan	nominal	MATCH	yes	yes		1	1
1	1.16	kuntī-putraḥ	kuntī-putra	nominal	kuntī|putraḥ	kuntī|putra	nominal|nominal	COMPOUND_SPLIT	n/a	n/a		1	2
1	1.16	yudhiṣṭhiraḥ	yudhi-sthira	nominal	yudhiṣṭhiraḥ	yudhiṣṭhira	nominal	LEMMA_DIVERGE	no	yes		1	1
1	1.16	nakulaḥ	nakula	nominal	nakulaḥ	nakula	nominal	MATCH	yes	yes		1	1
1	1.16	sahadevaḥ	saha-deva	nominal	sahadevaḥ	sahadeva	nominal	MATCH	yes	yes		1	1
1	1.16	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.16	sughoṣa-maṇi-puṣpakau	su-ghoṣa-maṇi-puṣpaka	nominal	sughoṣa|maṇipuṣpakau	sughoṣa|maṇipuṣpaka	nominal|nominal	COMPOUND_SPLIT	n/a	n/a		1	2
1	1.17	kāśyaḥ	kāśya	nominal	kāśyaḥ	kāśya	nominal	MATCH	yes	yes		1	1
1	1.17	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.17	parameṣvāsaḥ	parama-iṣu-āsa	nominal	parama|iṣvāsaḥ	parama|iṣvāsa	indecl|nominal	COMPOUND_SPLIT	n/a	n/a		1	2
1	1.17	śikhaṇḍī	śikhaṇḍin	nominal	śikhaṇḍī	śikhaṇḍin	nominal	MATCH	yes	yes		1	1
1	1.17	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.17	mahā-rathaḥ	mahā-ratha	nominal	mahā|rathaḥ	mahat|ratha	indecl|nominal	COMPOUND_SPLIT	n/a	n/a		1	2
1	1.17	dhṛṣṭa-dyumnaḥ	dhṛṣṭa-dyumna	nominal	dhṛṣṭadyumno	dhṛṣṭadyumna	nominal	MATCH	yes	yes		1	1
1	1.17	virāṭaḥ	virāṭa	nominal	virāṭaḥ	virāṭa	nominal	MATCH	yes	yes		1	1
1	1.17	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.17	sātyakiḥ	sātyaki	nominal	sātyakiḥ	sātyaki	nominal	MATCH	yes	yes		1	1
1	1.17	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.17	aparā-jitaḥ	a-parā-jita	nominal	aparājitaḥ	aparājita	indecl	POS_DIVERGE	yes	no		1	1
1	1.18	drupadaḥ	dru-pada	nominal	drupado	drupada	nominal	MATCH	yes	yes		1	1
1	1.18	draupadeyāḥ	draupadeya	nominal	draupadeyāḥ	draupadeya	nominal	MATCH	yes	yes		1	1
1	1.18	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.18	sarvaśaḥ	sarvaśaḥ	indecl	sarvaśaḥ	sarvaśas	indecl	LEMMA_CONVENTION	no	yes	adverb--tas/-taḥ	1	1
1	1.18	pṛthivīpate	pṛthivī-pati	nominal	pṛthivīpate	pṛthivīpati	nominal	MATCH	yes	yes		1	1
1	1.18	saubhadraḥ	saubhadra	nominal	saubhadraḥ	saubhadra	nominal	MATCH	yes	yes		1	1
1	1.18	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.18	mahā-bāhuḥ	mahā-bāhu	nominal	mahā|bāhuḥ	mahat|bāhu	indecl|nominal	COMPOUND_SPLIT	n/a	n/a		1	2
1	1.18	śaṅkhān	śaṅkha	nominal	śaṅkhān	śaṅkha	nominal	MATCH	yes	yes		1	1
1	1.18	dadhmuḥ	√dhmā	verb	dadhmuḥ	dham	verb	LEMMA_CONVENTION	no	yes	vowel-sandhi/contraction	1	1
1	1.18	pṛthak pṛthak	pṛthak pṛthak	indecl	pṛthak|pṛthak	pṛthak|pṛthak	indecl|indecl	COMPOUND_SPLIT	n/a	n/a		1	2
1	1.19	saḥ	tat	nominal	sa	tad	nominal	LEMMA_CONVENTION	no	yes	pronoun-stem	1	1
1	1.19	ghoṣaḥ	ghoṣa	nominal	ghoṣo	ghoṣa	nominal	MATCH	yes	yes		1	1
1	1.19	dhārtarāṣṭrāṇām	dhārtarāṣṭra	nominal	dhārtarāṣṭrāṇāṃ	dhārtarāṣṭra	nominal	MATCH	yes	yes		1	1
1	1.19	hṛdayāni	hṛdaya	nominal	hṛdayāni	hṛdaya	nominal	MATCH	yes	yes		1	1
1	1.19	vyadārayat	vi-√dṝ	verb	vyadārayat	vidāray	verb	LEMMA_DIVERGE	no	yes		1	1
1	1.19	nabhaḥ	nabhas	nominal	nabhaḥ	nabhas	nominal	MATCH	yes	yes		1	1
1	1.19	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.19	pṛthivīm	pṛthivī	nominal	pṛthivīṃ	pṛthivī	nominal	MATCH	yes	yes		1	1
1	1.19	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.19	eva	eva	indecl	eva	eva	indecl	MATCH	yes	yes		1	1
1	1.19	tumulaḥ	tumula	nominal	tumulo	tumula	indecl	POS_DIVERGE	yes	no		1	1
1	1.19	vyanunādayan	vi-anu-nādayant	nominal	vyanunādayan	vyanunāday	verb	LEMMA+POS_DIVERGE	no	no		1	1
1	1.20	atha	atha	indecl	atha	atha	indecl	MATCH	yes	yes		1	1
1	1.20	vyavasthitān	vi-ava-sthita	nominal	vyavasthitān	vyavasthā	verb	LEMMA+POS_DIVERGE	no	no		1	1
1	1.20	dṛṣṭvā	√dṛś	unknown	dṛṣṭvā	dṛś	verb	POS_DIVERGE	yes	no		1	1
1	1.20	dhārtarāṣṭrān	dhārtarāṣṭra	nominal	dhārtarāṣṭrān	dhārtarāṣṭra	nominal	MATCH	yes	yes		1	1
