slp1	hom	sense_id	lemma	locus	cite	conf	method	rights	source	gloss	reason
plava		?	plava	lemma:154039		0.0	unassigned	public	DCS	a float; raft; boat; small ship	no locus/overlap candidate — residue for LLM/human pass
kAlika	1	?	kālika	lemma:22908		0.0	unassigned	public	DCS	relating to or connected with or depending on time; fit for any particular seaso	no locus/overlap candidate — residue for LLM/human pass
sama	2	?	sama	lemma:29359		0.0	unassigned	public	DCS	happy; prosperous	no locus/overlap candidate — residue for LLM/human pass
sAra	2	4d	sāra	Mahābhārata, MBh, 1, 1, 105	dcs:157456	0.5	overlap	public	DCS	hard; firm; precious; valuable; good; sound; best; excellent; sound (as an argum	confidence<tau
sAra	2	4d	sāra	Mahābhārata, MBh, 2, 24, 22	dcs:185447	0.5	overlap	public	DCS	hard; firm; precious; valuable; good; sound; best; excellent; sound (as an argum	confidence<tau
sAra	2	4d	sāra	Mahābhārata, MBh, 5, 36, 41	dcs:218574	0.5	overlap	public	DCS	hard; firm; precious; valuable; good; sound; best; excellent; sound (as an argum	confidence<tau
sAra	2	?	sāra	lemma:112959		0.0	unassigned	public	DCS	core; firmness; essence; quintessence; marrow; the real meaning; a summary; a ch	no locus/overlap candidate — residue for LLM/human pass
vijaya		?	vijaya	lemma:48143		0.0	unassigned	public	DCS	leading to victory; proclaiming victory; victorious; triumphant	no locus/overlap candidate — residue for LLM/human pass
anu	1	?	anu	lemma:10663		0.0	unassigned	public	DCS	a non-Āryan man; name of a king; one of Yayātis and Śarmiṣṭhās sons; name of a n	no locus/overlap candidate — residue for LLM/human pass
anu	1	?	anu	lemma:166836		0.0	unassigned	public	DCS	danach; dementsprechend	no locus/overlap candidate — residue for LLM/human pass
vasu		5b	vasu	Vārāhagṛhyasūtra, VārGS, 5, 9	dcs:102326	0.5	overlap	public	DCS	goods; riches; gold (?); [min.] a ruby	confidence<tau
vasu		5b	vasu	Vārāhagṛhyasūtra, VārGS, 9, 9	dcs:102522	0.5	overlap	public	DCS	goods; riches; gold (?); [min.] a ruby	confidence<tau
vasu		5b	vasu	Vārāhagṛhyasūtra, VārGS, 12, 3	dcs:102607	0.5	overlap	public	DCS	goods; riches; gold (?); [min.] a ruby	confidence<tau
vasu		2c	vasu	Aṣṭādhyāyī, Aṣṭādhyāyī, 8, 2, 72	dcs:555316	0.5	overlap	public	DCS	[gramm.] root vas; [gramm.] the noun 'vasu'	confidence<tau
vasu		?	vasu	lemma:75313		0.0	unassigned	public	DCS	excellent; good; sweet; dry; g￼tig	no locus/overlap candidate — residue for LLM/human pass
vasu		?	vasu	lemma:75566		0.0	unassigned	public	DCS	dwelling or dweller; name of the gods; name of a particular class of gods; a sym	no locus/overlap candidate — residue for LLM/human pass
As	2	?	ās	lemma:62880		0.0	unassigned	public	DCS	mouth; face	no locus/overlap candidate — residue for LLM/human pass
As	2	?	ās	lemma:156126		0.0	unassigned	public	DCS	to sit; to sit down; to rest; to lie; to be present; to exist; to inhabit; to dw	no locus/overlap candidate — residue for LLM/human pass
As	2	?	ās	lemma:159994		0.0	unassigned	public	DCS	to throw upon; to lay or put upon; fassen; sich etwas hinwerfen	no locus/overlap candidate — residue for LLM/human pass
As	2	?	ās	lemma:214475		0.0	unassigned	public	DCS	[gramm.] the root ās	no locus/overlap candidate — residue for LLM/human pass
SuBa		?	śubha	lemma:126382		0.0	unassigned	public	DCS	splendid; bright; beautiful; pleasant; agreeable; suitable; fit; capable; useful	no locus/overlap candidate — residue for LLM/human pass
SuBa		?	śubha	lemma:126385		0.0	unassigned	public	DCS	anything bright or beautiful; beauty; charm; good fortune; auspiciousness; happi	no locus/overlap candidate — residue for LLM/human pass
bahula		?	bahula	lemma:147801		0.0	unassigned	public	DCS	thick; dense; broad; abundant; many; attended with; (in gram.) variously applica	no locus/overlap candidate — residue for LLM/human pass
bahula		?	bahula	lemma:147802		0.0	unassigned	public	DCS	the dark half of a month	no locus/overlap candidate — residue for LLM/human pass
bahula		?	bahula	lemma:147805		0.0	unassigned	public	DCS	the sky; factitious black salt; white pepper; a particular high number	no locus/overlap candidate — residue for LLM/human pass
kumAra		?	kumāra	lemma:205653		0.0	unassigned	public	DCS	[alchemy]?; slender; slim; jung	no locus/overlap candidate — residue for LLM/human pass
cakra		?	cakra	lemma:176468		0.0	unassigned	public	DCS	name of a son of Kṛṣṇa; name of a mountain; = Cakrapāṇidatta; name of a serpent 	no locus/overlap candidate — residue for LLM/human pass
kfta		?	kṛta	lemma:3446		0.0	unassigned	public	DCS	done; made; accomplished; performed; prepared; made ready; obtained; gained; acq	no locus/overlap candidate — residue for LLM/human pass
kfta		?	kṛta	lemma:3448		0.0	unassigned	public	DCS	away with; enough of; no need of; past tense; deed; work; service done; kind act	no locus/overlap candidate — residue for LLM/human pass
kfta		?	kṛta	lemma:214884		0.0	unassigned	public	DCS	[gramm.] root kṛt	no locus/overlap candidate — residue for LLM/human pass
tIkzRa		?	tīkṣṇa	lemma:82524		0.0	unassigned	public	DCS	sharp; hot; fiery; acid; rough; rude; keen; vehement; inauspicious	no locus/overlap candidate — residue for LLM/human pass
BU	1	?	bhū	lemma:166332		0.0	unassigned	public	DCS	Erde; the act of arising; space; world; the earth; name for the number three; gr	no locus/overlap candidate — residue for LLM/human pass
BU	1	?	bhū	lemma:215983		0.0	unassigned	public	DCS	[gramm.] substitute for bahu	no locus/overlap candidate — residue for LLM/human pass
sTita		?	sthita	lemma:102974		0.0	unassigned	public	DCS	standing still; stopping; staying; remaining; abiding; manner of standing; perse	no locus/overlap candidate — residue for LLM/human pass
sA	3	?	sā	lemma:157644		0.0	unassigned	public	DCS	to bind	no locus/overlap candidate — residue for LLM/human pass
sA	3	?	sā	lemma:216518		0.0	unassigned	public	DCS	[gramm.] root sā-; [gramm.] the pronominal form 'sā'; name of Lakṣmī / Śrī	no locus/overlap candidate — residue for LLM/human pass
sA	3	?	sā	lemma:219530		0.0	unassigned	public	DCS	winning	no locus/overlap candidate — residue for LLM/human pass
sOmya		1a	saumya	Vaikhānasadharmasūtra, VaikhDhS, 2, 10, 10	dcs:100170	0.5	overlap	public	DCS	relating to Soma; cool and moist; northern; placid; gentle; auspicious; happy; c	confidence<tau
sOmya		1a	saumya	Skandapurāṇa, SkPur, 9, 10	dcs:105651	0.5	overlap	public	DCS	relating to Soma; cool and moist; northern; placid; gentle; auspicious; happy; c	confidence<tau
sOmya		1a	saumya	Skandapurāṇa, SkPur, 9, 14	dcs:105662	0.5	overlap	public	DCS	relating to Soma; cool and moist; northern; placid; gentle; auspicious; happy; c	confidence<tau
sOmya		1a	saumya	Matsyapurāṇa, MPur, 93, 132	dcs:340794	0.5	overlap	public	DCS	the nature or condition of Soma; gentleness (presided over by the Moon); the lef	confidence<tau
sOmya		1a	saumya	Liṅgapurāṇa, LiPur, 1, 20, 11	dcs:369869	0.5	overlap	public	DCS	the nature or condition of Soma; gentleness (presided over by the Moon); the lef	confidence<tau
sOmya		1a	saumya	Skandapurāṇa (Revākhaṇḍa), SkPur (Rkh), Revākhaṇḍa, 193, 32	dcs:420119	0.5	overlap	public	DCS	the nature or condition of Soma; gentleness (presided over by the Moon); the lef	confidence<tau
saMDi		2c	saṃdhi	Suśrutasaṃhitā, Su, Sū., 5, 7	dcs:1004	0.5	overlap	public	DCS	junction; connection; combination; union with (instr.); association; intercourse	confidence<tau
saMDi		2c	saṃdhi	Rasādhyāya, RAdhy, 1, 59	dcs:100525	0.5	overlap	public	DCS	junction; connection; combination; union with (instr.); association; intercourse	confidence<tau
saMDi		2c	saṃdhi	Rasādhyāya, RAdhy, 1, 274	dcs:100964	0.5	overlap	public	DCS	junction; connection; combination; union with (instr.); association; intercourse	confidence<tau
parigraha		20	parigraha	Amaruśataka, AmaruŚ, 1, 81	dcs:103011	0.5	overlap	public	DCS	laying hold of on all sides; surrounding; enclosing; fencing round (esp. the Ved	confidence<tau
parigraha		20	parigraha	Amaruśataka, AmaruŚ, 1, 92	dcs:103033	0.5	overlap	public	DCS	laying hold of on all sides; surrounding; enclosing; fencing round (esp. the Ved	confidence<tau
parigraha		20	parigraha	Rāmāyaṇa, Rām, Bā, 7, 8	dcs:112578	0.5	overlap	public	DCS	laying hold of on all sides; surrounding; enclosing; fencing round (esp. the Ved	confidence<tau
sADana		?	sādhana	lemma:112138		0.0	unassigned	public	DCS	leading to a goal; effective; procuring; denoting; designating; expressive of; l	no locus/overlap candidate — residue for LLM/human pass
sTiti		21	sthiti	Suśrutasaṃhitā, Su, Cik., 38, 19	dcs:10143	0.5	overlap	public	DCS	standing upright or firmly; not falling; standing; staying; remaining; abiding; 	confidence<tau
sTiti		21	sthiti	Skandapurāṇa, SkPur, 1, 2	dcs:105000	0.5	overlap	public	DCS	standing upright or firmly; not falling; standing; staying; remaining; abiding; 	confidence<tau
sTiti		21	sthiti	Skandapurāṇa, SkPur, 5, 6	dcs:105283	0.5	overlap	public	DCS	standing upright or firmly; not falling; standing; staying; remaining; abiding; 	confidence<tau
nIla		2c	nīla	Rasārṇava, RArṇ, 16, 16	dcs:111145	0.5	overlap	public	DCS	dark (the colour); darkness; any dark substance; indigo; black salt; blue vitrio	confidence<tau
nIla		2c	nīla	Suśrutasaṃhitā, Su, Utt., 6, 28	dcs:11887	0.5	overlap	public	DCS	dark (the colour); darkness; any dark substance; indigo; black salt; blue vitrio	confidence<tau
nIla		2c	nīla	Rāmāyaṇa, Rām, Ār, 50, 21	dcs:125421	0.5	overlap	public	DCS	dark (the colour); darkness; any dark substance; indigo; black salt; blue vitrio	confidence<tau
nIla		2c	nīla	Rasādhyāya, RAdhy, 1, 378	dcs:101172	0.5	overlap	public	DCS	of a dark colour; dark-blue; dark-green; black; dyed with indigo	confidence<tau
nIla		2c	nīla	Vārāhagṛhyasūtra, VārGS, 16, 11	dcs:102818	0.5	overlap	public	DCS	of a dark colour; dark-blue; dark-green; black; dyed with indigo	confidence<tau
nIla		2c	nīla	Skandapurāṇa, SkPur, 4, 16	dcs:105216	0.5	overlap	public	DCS	of a dark colour; dark-blue; dark-green; black; dyed with indigo	confidence<tau
tAra		?	tāra	lemma:97326		0.0	unassigned	public	DCS	a high tone; loud or shrill note; the clearness or transparency of a pearl; clea	no locus/overlap candidate — residue for LLM/human pass
arjuna		4b	arjuna	Suśrutasaṃhitā, Su, Utt., 1, 38	dcs:11706	0.5	overlap	public	DCS	silver; gold; slight inflammation of the conjunctiva or white of the eye; a part	confidence<tau
arjuna		4b	arjuna	Suśrutasaṃhitā, Su, Utt., 4, 3	dcs:11801	0.5	overlap	public	DCS	silver; gold; slight inflammation of the conjunctiva or white of the eye; a part	confidence<tau
arjuna		4b	arjuna	Suśrutasaṃhitā, Su, Utt., 4, 7	dcs:11809	0.5	overlap	public	DCS	silver; gold; slight inflammation of the conjunctiva or white of the eye; a part	confidence<tau
arjuna		?	arjuna	lemma:53076		0.0	unassigned	public	DCS	white; clear; made of silver; wei￟	no locus/overlap candidate — residue for LLM/human pass
kakza		?	kakṣa	lemma:495		0.0	unassigned	public	DCS	arm-pit (as the most concealed part of the human body); region of the girth; gir	no locus/overlap candidate — residue for LLM/human pass
pAvana		?	pāvana	lemma:94479		0.0	unassigned	public	DCS	purifying; purificatory; pure; holy; living on wind	no locus/overlap candidate — residue for LLM/human pass
dA	1	?	dā	lemma:157372		0.0	unassigned	public	DCS	to give; to offer to; to yield; to give (a daughter) in marriage; to pay; to giv	no locus/overlap candidate — residue for LLM/human pass
dA	1	?	dā	lemma:159267		0.0	unassigned	public	DCS	to cut; to divide; to reap; to mow; jemanden mit etwas abfinden	no locus/overlap candidate — residue for LLM/human pass
dA	1	?	dā	lemma:213207		0.0	unassigned	public	DCS	[gramm.] the root dā	no locus/overlap candidate — residue for LLM/human pass
dA	1	?	dā	lemma:215890		0.0	unassigned	public	DCS	[gramm.] a taddhita affix	no locus/overlap candidate — residue for LLM/human pass
dA	1	?	dā	lemma:218853		0.0	unassigned	public	DCS	giving	no locus/overlap candidate — residue for LLM/human pass
dA	1	?	dā	lemma:219655		0.0	unassigned	public	DCS	Geber; Gabe	no locus/overlap candidate — residue for LLM/human pass
aTa		?	atha	lemma:7467		0.0	unassigned	public	DCS	an auspicious and inceptive particle (not easily expressed in English); now; the	no locus/overlap candidate — residue for LLM/human pass
aTa		?	atha	lemma:216421		0.0	unassigned	public	DCS	[gramm.] a kṛt affix; [gramm.] the word atha	no locus/overlap candidate — residue for LLM/human pass
haMsa		?	haṃsa	lemma:206527		0.0	unassigned	public	DCS	cinnabar	no locus/overlap candidate — residue for LLM/human pass
SfNga		1a	śṛṅga	Vaikhānasadharmasūtra, VaikhDhS, 2, 13, 2	dcs:100190	0.5	overlap	public	DCS	the horn of an animal; a horn used for various purposes (as in drinking); the tu	confidence<tau
SfNga		1a	śṛṅga	Vaikhānasadharmasūtra, VaikhDhS, 3, 4, 3	dcs:100269	0.5	overlap	public	DCS	the horn of an animal; a horn used for various purposes (as in drinking); the tu	confidence<tau
SfNga		1a	śṛṅga	Suśrutasaṃhitā, Su, Sū., 5, 6	dcs:1003	0.5	overlap	public	DCS	the horn of an animal; a horn used for various purposes (as in drinking); the tu	confidence<tau
SfNga		1b	śṛṅga	Rāmāyaṇa, Rām, Ki, 25, 31	dcs:128242	0.5	overlap	public	DCS	a kind of medicinal or poisonous plant; name of a Muni	confidence<tau
SfNga		1b	śṛṅga	Rasaratnasamuccaya, RRS, 1, 6	dcs:153243	0.5	overlap	public	DCS	a kind of medicinal or poisonous plant; name of a Muni	confidence<tau
SfNga		1b	śṛṅga	Bhāvaprakāśa, BhPr, 6, 2, 124	dcs:330517	0.5	overlap	public	DCS	a kind of medicinal or poisonous plant; name of a Muni	confidence<tau
SfNga		?	śṛṅga	lemma:208266		0.0	unassigned	public	DCS	(ifc.) having ... horns	no locus/overlap candidate — residue for LLM/human pass
DAraRa		?	dhāraṇa	lemma:42502		0.0	unassigned	public	DCS	holding; bearing; keeping (in remembrance); retention; preserving; protecting; m	no locus/overlap candidate — residue for LLM/human pass
DAraRa		?	dhāraṇa	lemma:42504		0.0	unassigned	public	DCS	the act of holding; bearing; wearing; suffering; enduring; keeping in remembranc	no locus/overlap candidate — residue for LLM/human pass
aruRa		?	aruṇa	lemma:32763		0.0	unassigned	public	DCS	reddish-brown; tawny; red; ruddy (the colour of the morning opposed to the darkn	no locus/overlap candidate — residue for LLM/human pass
aruRa		?	aruṇa	lemma:32767		0.0	unassigned	public	DCS	red colour; a ruby; saffron; [min.] = sindūra	no locus/overlap candidate — residue for LLM/human pass
droRa		?	droṇa	lemma:90693		0.0	unassigned	public	DCS	a wooden vessel; bucket; trough; a Soma vessel; an altar shaped like a trough; a	no locus/overlap candidate — residue for LLM/human pass
lohita		1a	lohita	Gobhilagṛhyasūtra, GobhGS, 3, 6, 6	dcs:103737	0.5	overlap	public	DCS	any red substance; blood; ruby; red sanders; a kind of sandal-wood; a kind of Ag	confidence<tau
lohita		1a	lohita	Suśrutasaṃhitā, Su, Ka., 4, 17	dcs:10933	0.5	overlap	public	DCS	any red substance; blood; ruby; red sanders; a kind of sandal-wood; a kind of Ag	confidence<tau
lohita		1a	lohita	Suśrutasaṃhitā, Su, Utt., 5, 10	dcs:11831	0.5	overlap	public	DCS	any red substance; blood; ruby; red sanders; a kind of sandal-wood; a kind of Ag	confidence<tau
lohita		?	lohita	lemma:67333		0.0	unassigned	public	DCS	red; reddish; made of copper; metal	no locus/overlap candidate — residue for LLM/human pass
arizwa		?	ariṣṭa	lemma:32721		0.0	unassigned	public	DCS	unhurt; proof against injury or damage; secure; safe; boding misfortune (as bird	no locus/overlap candidate — residue for LLM/human pass
rocana		?	rocana	lemma:79903		0.0	unassigned	public	DCS	bright; radiant; giving pleasure; lovely; stimulating the appetite; stomachic	no locus/overlap candidate — residue for LLM/human pass
vajra		16	vajra	Gheraṇḍasaṃhitā, GherS, 2, 3	dcs:136	0.5	overlap	public	DCS	denunciation in strong language (compared to thunder); a kind of hard iron or st	confidence<tau
vajra		16	vajra	Rājanighaṇṭu, RājNigh, Kar., 165	dcs:21481	0.5	overlap	public	DCS	denunciation in strong language (compared to thunder); a kind of hard iron or st	confidence<tau
vajra		16	vajra	Kālikāpurāṇa, KālPur, 54, 23	dcs:423181	0.5	overlap	public	DCS	denunciation in strong language (compared to thunder); a kind of hard iron or st	confidence<tau
vajra		?	vajra	lemma:67908		0.0	unassigned	public	DCS	a thunderbolt (esp. that of Indra); a diamond (thought to be as hard as the thun	no locus/overlap candidate — residue for LLM/human pass
akza	2	?	akṣa	lemma:5397		0.0	unassigned	public	DCS	sochal salt; blue vitriol (from its cube-like crystals); [min.] = sauvarcala	no locus/overlap candidate — residue for LLM/human pass
akza	2	?	akṣa	lemma:5541		0.0	unassigned	public	DCS	the eye	no locus/overlap candidate — residue for LLM/human pass
akza	2	?	akṣa	lemma:175928		0.0	unassigned	public	DCS	having eyes	no locus/overlap candidate — residue for LLM/human pass
