lemma_slp1	dict	sense_id	failure_class	n_ls	gloss
sTA	pwg	pwg:113928:167	witness-too-common	19	feststehend, festgesetzt; sicher bevorstehend; beständig, nicht wechselnd; unbeständig; genau bestimmt, limitirt; ausschliesslich eigen; genau bestimmt für jeden einzelnen Fall
sTA	pwg	pwg:113928:168	witness-too-common	5	daseiend, vorhanden, sich vorfindend
sTA	pwg	pwg:113928:169	cross-language-gap	0	dastehend —, erscheinend als
sTA	pwg	pwg:113928:170	witness-too-common	8	α〉 ein nom
sTA	pwg	pwg:113928:171	witness-too-common	1	β〉 ein absol
sTA	pwg	pwg:113928:172	witness-too-common	5	γ〉 ein instr. : _zu_ . 293. die im [Page7-1299] instr. zu denkende Ergänzung im comp. vorangehend
sTA	pwg	pwg:113928:173	no-shared-witness	5	δ〉 ein adv
sTA	pwg	pwg:113928:174	cross-language-gap	0	Vgl. fgg. , . — caus
sTA	pwg	pwg:113928:175	no-shared-witness	2	hinstellen; richten auf
sTA	pwg	pwg:113928:176	no-shared-witness	1	einsetzen
sTA	pwg	pwg:113928:177	witness-too-common	2	zum Stehen bringen; aufhalten; nicht zu Fall kommen lassen
sTA	pwg	pwg:113928:178	no-shared-witness	2	herstellen, in den natürlichen Zustand wieder versetzen
sTA	pwg	pwg:113928:179	no-shared-witness	6	feststellen, bestimmen; als logisch haltbar darthun
sTA	pwg	pwg:113928:180	cross-language-gap	0	Vgl. fgg
sTA	pwg	pwg:113928:181	witness-too-common	5	stehend; sich nicht rührend, unbeweglich
sTA	pwg	pwg:113928:182	witness-too-common	4	stehend; seine Stelle habend; vor Jmd stehend
sTA	pwg	pwg:113928:183	witness-too-common	2	gerüstet —, bereit zu
sTA	pwg	pwg:113928:184	cross-language-gap	0	Vgl. fg. — caus
sTA	pwg	pwg:113928:185	witness-too-common	1	zum Stehen bringen, anhalten
sTA	pwg	pwg:113928:186	witness-too-common	1	befestigen
sTA	pwg	pwg:113928:187	witness-too-common	13	stehen auf, besteigen; sich einstellen bei, sich befinden; Stadt; sich begeben zu, nach, betreten; sich festsetzend in
sTA	pwg	pwg:113928:188	witness-too-common	2	befolgen, sich richten nach
sTA	pwg	pwg:113928:189	no-shared-witness	1	gelangen zu, theilhaftig werden
sTA	pwg	pwg:113928:190	witness-too-common	12	antreten, sich anschicken zu, sich machen an, greifen zu, einschlagen; sich hingeben; anwenden; mittels rascher Pferde; zu Pferde sitzend; beobachten; einen Marsch unternehmen; Mittel; in welchem Gedanken? in welcher Voraussetzung?
sTA	pwg	pwg:113928:191	no-shared-witness	3	beitreten; anerkennen, für wahr halten
sTA	pwg	pwg:113928:192	witness-too-common	2	halten zu Jmd; halten —, einen Werth legen auf Etwas
sTA	pwg	pwg:113928:193	witness-too-common	1	stehen
sTA	pwg	pwg:113928:194	cross-language-gap	0	partic
sTA	pwg	pwg:113928:195	cross-language-gap	0	in act. Bed
sTA	pwg	pwg:113928:196	witness-too-common	7	stehend —, sitzend auf; sich aufhaltend, — befindend an, in; betreten habend; eingegangen in; heimgesucht habend
sTA	pwg	pwg:113928:197	witness-too-common	3	gelangt zu; gerathen in
sTA	pwg	pwg:113928:198	witness-too-common	10	der Etwas angetreten —, zu Etwas gegriffen —, an Etwas sich gemacht —, zu Etwas sich angeschickt hat
sTA	pwg	pwg:113928:199	witness-too-common	3	was; zugestossen ist; Schaden; was wund und krank ist; bevorstehend
sTA	pwg	pwg:113928:200	no-shared-witness	2	dastehend; sich befindend, lebend
sTA	pwg	pwg:113928:201	no-shared-witness	1	anerkennend, als wahr annehmend
sTA	pwg	pwg:113928:202	no-shared-witness	1	mit pass. Bed. ; =
sTA	pwg	pwg:113928:203	witness-too-common	4	worauf man steht; sitzt, eingenommen; betreten
sTA	pwg	pwg:113928:204	witness-too-common	2	angetreten, wozu man gegriffen —, woran man sich gemacht hat
sTA	pwg	pwg:113928:205	no-shared-witness	1	geleitet auf
sTA	pwg	pwg:113928:206	cross-language-gap	0	Vgl. fgg. , . — caus. act. med
sTA	pwg	pwg:113928:207	no-shared-witness	1	betreten —, besteigen lassen
sTA	pwg	pwg:113928:208	witness-too-common	2	bleiben machen, festhalten
sTA	pwg	pwg:113928:209	witness-too-common	1	herbeischaffen
