lemma_slp1	hom	pwg_sense_id	pwg_gloss	pwg_loci	mw_sense_id	mw_gloss	apte_sense_id	apte_gloss	confidence	note
sTA	1	11b	mit pass. Bed. α〉 begleitet, unterstützt: (sic) TS. 2,4,12,3 . — β〉 dem man obge	TAITTIRĪYASAM̃HITĀ. 7 Kāṇḍa 2,4,12,3; ṚGVEDA. Es wird nach Maṇḍala 10,61,5; ŚĀṄKHĀYANA'S GṚHYASŪTRĀṆI. 2,10					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	11c	verbleibend in ( loc. ) so v. a. befolgend: BHĀG. P. 3,1,45 . BHAṬṬ. 15,14	BHĀGAVATAPURĀṆA 3,1,45; BHAṬṬIKĀVYA 15,14					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	11d	begriffen in, obliegend, bedacht auf; mit loc. : MBH. 2,1228 . M. 8,42 . 10,74 .	MAHĀBHĀRATA 2,1228 → vulg 2.33.21; MANU'S Gesetzbuch in der Ausg. von LOISE 8,42; MANU'S Gesetzbuch in der Ausg. von LOISE 10,74					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	11e	Jmd ( acc. ) obliegend: KUMĀRAS. 2,28	KUMĀRASAM̃BHAVA 2,28					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	11f	bereit zu ( dat. ): PAÑCAT. 91,6 . 7	PAÑCATANTRA. Pantschatantrum sive quinqu 91,6; PAÑCATANTRA. Pantschatantrum sive quinqu 91, 7					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	11g	feststehend, beständig, keinem Wandel unterworfen KAṬHOP. 2,22 . R. 5,56,56 . in	KAṬHOPANIṢAD in der Bibliotheca indica. 2,22; RĀMĀYAṆA. Ohne eine nähere Angabe ist be 5,56,56; RĀMĀYAṆA. Ohne eine nähere Angabe ist be 6,10,32					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	11h	gelungen: misslungen R. 5,51,9	RĀMĀYAṆA. Ohne eine nähere Angabe ist be 5,51,9					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	11i	beschaffen, sich verhaltend: unter diesen Verhältnissen PAÑCAT. 180,20 . 196,18	PAÑCATANTRA. Pantschatantrum sive quinqu 180,20; PAÑCATANTRA. Pantschatantrum sive quinqu 196,18; PAÑCATANTRA. Pantschatantrum sive quinqu 237,19					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	11k	mit acc. α〉 stehend bei: HARIV. 14728 . zur linken Seite R. 5,73,26 . — β〉 hinge	HARIVAṂŚA im 4ten Bande des MBH. Aus die 14728; RĀMĀYAṆA. Ohne eine nähere Angabe ist be 5,73,26; MAHĀBHĀRATA 13,272 → vulg 13.5.10					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	12	sich bei Jmd befinden, bei Jmd angetroffen werden, zu Jmdes Verfügung stehen, Jm	HARIVAṂŚA im 4ten Bande des MBH. Aus die 9387; Indische Sprüche. Sanskrit und Deutsch.  1247; Indische Sprüche. Sanskrit und Deutsch.  2756					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	13	geheftet —, gerichtet sein auf ( loc. ): HARIV. 3841 . BHAṬṬ. 8,12	HARIVAṂŚA im 4ten Bande des MBH. Aus die 3841; BHAṬṬIKĀVYA 8,12					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	14	ruhen —, beruhen auf, gegründet —, beschlossen sein in ( loc. ): ṚV. 7,101,4 . 1	ṚGVEDA. Es wird nach Maṇḍala 7,101,4; ṚGVEDA. Es wird nach Maṇḍala 1,164,36; VĀJASANEYISAM̃HITĀ. The VĀYASANEYI-SANHI 31,19					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	15	Jmd still halten zu Etwas, sich fügen in, dienen zu; mit einfachem oder doppelte	ṚGVEDA. Es wird nach Maṇḍala 4,54,5; ṚGVEDA. Es wird nach Maṇḍala 8,85,1; ṚGVEDA. Es wird nach Maṇḍala 9,62,27					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	16	erstehen aus ( abl. oder gen. ): ṚV. 4,51,1 . CHĀND. UP. 6,12,2	ṚGVEDA. Es wird nach Maṇḍala 4,51,1; CHĀNDOGYOPANIṢAD 6,12,2					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	17	abstehen von Etwas, sich eines Bessern besinnen: M. 7,108 . MBH. 3,1946	MANU'S Gesetzbuch in der Ausg. von LOISE 7,108; MAHĀBHĀRATA 3,1946 → vulg 3.49.15					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	18	dahingestellt —, unberücksichtigt —, unerörtert bleiben, nicht von Belang sein;	MṚCCHAKAṬIKĀ 24,18; RAGHUVAṂŚA 11,77; KUMĀRASAM̃BHAVA 6,24					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	19a	stehend ṚV. 1,108,1 (auf dem Wagen). RAGH. 2,29 . was steht, — sich nicht bewegt	ṚGVEDA. Es wird nach Maṇḍala 1,108,1; RAGHUVAṂŚA 2,29; ṚGVEDA. Es wird nach Maṇḍala 7,32,22					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	19b	sich befindend in ( loc. ): ṚV. 1,72,4 . so v. a. im Besitz seiend HARIV. 3064	ṚGVEDA. Es wird nach Maṇḍala 1,72,4; HARIVAṂŚA im 4ten Bande des MBH. Aus die 3064					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	19c	beschäftigt mit ( loc. ), obliegend: RĀJA-TAR. 3,370 . RAGH. 3,62 . so v. a. dem	RĀJATARAṄGIṆĪ 3,370; RAGHUVAṂŚA 3,62; RAGHUVAṂŚA 11,65					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	19d	der inne gehalten hat: so v. a. schwieg er HARIV. 10219	HARIVAṂŚA im 4ten Bande des MBH. Aus die 10219					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	19e	ausharrend, beharrlich: (= NĪLAK. ) MBH. 2,32	A rational refutation of the Hindu philo; MAHĀBHĀRATA 2,32 → vulg 2.2.12					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	19f	bereit zu ( dat. ): HARIV. 5667 . — caus. P. 7,4,5 . VOP. 18,9	HARIVAṂŚA im 4ten Bande des MBH. Aus die 5667; PĀṆINI'S acht Bücher grammatischer Regel 7,4,5; VOPADEVA'S Grammatik 18,9					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	1c	eingekommen (von Geldern u. s. w. ): Spr. (II) 4600	Indische Sprüche. Sanskrit und Deutsch.  4600					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	1d	= AK. H. an. MED. zu einer That bereit, mit Energie sich einer Sache hingebend:	AMARAKOṢA nach der Ausgabe von COLEBROOK; HEMACANDRA'S ANEKĀRTHASAM̃GRAHA; MEDINĪKOṢA					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	1e	hoch —, oben an stehend ṚV. PRĀT. 18,3 . ( Gegens. ) Spr. (II) 1206 . = AK. H. a	PRĀTIŚĀKHYA zun ṚGVEDA 18,3; Indische Sprüche. Sanskrit und Deutsch.  1206; AMARAKOṢA nach der Ausgabe von COLEBROOK					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	1f	n. Gang und Stand AV. 3,15,4 . — Vgl. fgg. , fgg. , . — caus	ATHARVAVEDASAM̃HITĀ 3,15,4					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	2e	hoch —, oben an stehend ṚV. PRĀT. 18,3 . ( Gegens. ) Spr. (II) 1206 . = AK. H. a	PRĀTIŚĀKHYA zun ṚGVEDA 18,3; Indische Sprüche. Sanskrit und Deutsch.  1206; AMARAKOṢA nach der Ausgabe von COLEBROOK					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	2f	n. Gang und Stand AV. 3,15,4 . — Vgl. fgg. , fgg. , . — caus	ATHARVAVEDASAM̃HITĀ 3,15,4					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	3a	herangekommen, genaht BHAG. 1,28 . MBH. 3,2278 (nach der Lesart der ed. Bomb. ).	BHAGAVADGĪTĀ 1,28; MAHĀBHĀRATA 3,2278 → vulg 3.59.2; ed. Bomb					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	3b	sitzend auf ( loc. ) R. 5,56,73 . liegend 13,39 . so v. a. sie stiessen auf PAÑC	RĀMĀYAṆA. Ohne eine nähere Angabe ist be 5,56,73; RĀMĀYAṆA. Ohne eine nähere Angabe ist be 5, 13,39; PAÑCATANTRA. Pantschatantrum sive quinqu 226,10					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	3c	entstanden: HARIV. 8476	HARIVAṂŚA im 4ten Bande des MBH. Aus die 8476					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	3d	eingetreten, gekommen von Leblosem: BHĀG. P. 4,8,32 . R. 4,43,3 . HARIV. 9301 .	BHĀGAVATAPURĀṆA 4,8,32; RĀMĀYAṆA. Ohne eine nähere Angabe ist be 4,43,3; HARIVAṂŚA im 4ten Bande des MBH. Aus die 9301					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	3e	gegangen an so v. a. bereit zu: MBH. 6,793 . 7,9290 . 14,1801 . BHĀG. P. 2,9,18	MAHĀBHĀRATA 6,793 → vulg 6.23.1; MAHĀBHĀRATA 7,9290 → vulg 7.200.31; MAHĀBHĀRATA 14,1801 → vulg 14.60.29					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	4a	ein adj. : BHAG. 6,18 . HARIV. 8727 ( act. ). Spr. (II) 4729 . KATHĀS. 37,63 . B	BHAGAVADGĪTĀ 6,18; HARIVAṂŚA im 4ten Bande des MBH. Aus die 8727; Indische Sprüche. Sanskrit und Deutsch.  4729					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	4b	ein absol. : MBH. 1,5770 . (so ed. Bomb. ) 3,187 . Spr. (II) 178 . R. 3,76,37 /	MAHĀBHĀRATA 1,5770 → vulg 1.144.7; ed. Bomb; MAHĀBHĀRATA 3,187 → vulg 3.3.57					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	4c	ein instr. : MBH. 1,5080 . KATHĀS. 29,178 . ŚAṂK. _bei_ WINDISCHMANN, Sancara 14	MAHĀBHĀRATA 1,5080 → vulg 1.129.18; KATHĀSARITSĀGARA 29,178; ŚAṂKARA (ein Scholiast des ŚĀKUNTALA) un					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	4d	aufgebrochen, der sich aufgemacht hat MBH. 1,7654 . 3,2728 . 2896 . 13,330 . HAR	MAHĀBHĀRATA 1,7654 → vulg 1.207.44; MAHĀBHĀRATA 3,2728 → vulg 3.69.35; MAHĀBHĀRATA 3, 2896 → vulg 3.74.7					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	5a	stehend —, sitzend auf: R. 2,46,33 . MBH. 3,15652 . R. 2,96,13 / a〉 aufgestanden	RĀMĀYAṆA. Ohne eine nähere Angabe ist be 2,46,33; MAHĀBHĀRATA 3,15652 → vulg 3.268.15; RĀMĀYAṆA. Ohne eine nähere Angabe ist be 2,96,13					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	5b	verharrend in: R. GORR. 1,67,21 / b〉 hoch stehend, sich auszeichnend durch: Verz	? [Cologne Addition] 1,67,21; ? [Cologne Addition] 217,a,23					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	5c	der Etwas angetreten —, zu Etwas gegriffen —, an Etwas sich gemacht —, zu Etwas	RĀMĀYAṆA. Ohne eine nähere Angabe ist be 5,50,18; MAHĀBHĀRATA 1,1143; MAHĀBHĀRATA 5,7392 → vulg 5.188.4					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	5d	gegangen an, sich anschickend zu: zu einem Geschäft NIR. 9,4 . MBH. 12,4130 . [P	YĀSKA'S NIRUKTA sammt den NIGHAṆṬAVA'S h 9,4; MAHĀBHĀRATA 12,4130 → vulg 12.111.88; BHĀGAVATAPURĀṆA 3,26,62					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	5e	angefallen, angegriffen: R. GORR. 2,125,3 . — Vgl. fgg. — aufgehen (von einem Ge	? [Cologne Addition] 2,125,3; HARIVAṂŚA im 4ten Bande des MBH. Aus die 1356; TAITTIRĪYABRĀHMAṆA. 1,4,9,1					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	6a	geordnet stehend BHAG. 1,20 / a〉 aufgestanden MBH. 5,7232 . R. 5,3,6 . RAGH. 2,6	BHAGAVADGĪTĀ 1,20; MAHĀBHĀRATA 5,7232; RĀMĀYAṆA. Ohne eine nähere Angabe ist be 5,3,6					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	6b	stehend: HARIV. 11310 . eine Stelle einnehmend, postirt, stehend [Page7-1298] —,	HARIVAṂŚA im 4ten Bande des MBH. Aus die 11310; MAHĀBHĀRATA 5,7129 → vulg 5.179.6; ? [Cologne Addition] 2,38,38					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	6c	gewartet —, verweilt habend MBH. 5,7050 / c〉 feststehend, seinen Halt habend an,	MAHĀBHĀRATA 5,7050 → vulg 5.178.23; TAITTIRĪYASAM̃HITĀ. 7 Kāṇḍa 6,3,3,5; MAHĀBHĀRATA 4,697 → vulg 4.22.4					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	6d	beruhend auf ( loc. ), abhängig von: KĀM. NĪTIS. 2,6 . Spr. (II) 1003 . 2981 . 5	? [Cologne Addition] 2,6; Indische Sprüche. Sanskrit und Deutsch.  1003; Indische Sprüche. Sanskrit und Deutsch.  2981					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	6e	entschlossen zu ( loc. ): MBH. 5,7124 . 7145 . R. 4,24,1 / e〉 übergegangen auf (	MAHĀBHĀRATA 5,7124 → vulg 5.179.1; MAHĀBHĀRATA 5, 7145 → vulg 5.179.22; RĀMĀYAṆA. Ohne eine nähere Angabe ist be 4,24,1					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	6f	beharrend in, haltend an: R. 2,60,22 . 5,14,67 . Spr. (II) 4948 . YĀJÑ. 2,110 .	RĀMĀYAṆA. Ohne eine nähere Angabe ist be 2,60,22; RĀMĀYAṆA. Ohne eine nähere Angabe ist be 5,14,67; Indische Sprüche. Sanskrit und Deutsch.  4948					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	6g	feststehend, festgesetzt: M. 3,265 . 9,117 . 120 . 179 . 10,68 . Spr. (II) 3685	MANU'S Gesetzbuch in der Ausg. von LOISE 3,265; MANU'S Gesetzbuch in der Ausg. von LOISE 9,117; MANU'S Gesetzbuch in der Ausg. von LOISE 9, 120					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	6h	daseiend, vorhanden, sich vorfindend: BHAG. 3,34 . R. 3,27,5 . 4,61,40 . ŚAṂK. _	BHAGAVADGĪTĀ 3,34; RĀMĀYAṆA. Ohne eine nähere Angabe ist be 3,27,5; RĀMĀYAṆA. Ohne eine nähere Angabe ist be 4,61,40					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	6i	dastehend —, erscheinend als: die Ergänzung α〉 ein nom. : Verz. d. Oxf. H. 41,a,	? [Cologne Addition] 41,a, N. 2; MĀRKĀṆḌEYAPURĀṆA in der Bibliotheca indi 99,39; ? [Cologne Addition] 12,37					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	6k	n. α〉 das Verhalten: Verz. d. Oxf. H. 48,b,30 . — β〉 Form, Gestalt MBH. 5,5894 n	? [Cologne Addition] 48,b,30; MAHĀBHĀRATA 5,5894 → vulg 5.171.2; ed. Bomb					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	6l	MBH. 6,93 fehlerhaft für (so ed. Bomb. )	MAHĀBHĀRATA 6,93 → vulg 6.3.25; ed. Bomb					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	7	bestehen ( Gegens. vergehen, zu Grunde gehen): TS. 1,1,2,2 . MUṆḌ. UP. 2,1,9 . M	TAITTIRĪYASAM̃HITĀ. 7 Kāṇḍa 1,1,2,2; MUṆḌAKOPANIṢAD in der Bibliotheca indica 2,1,9; MANU'S Gesetzbuch in der Ausg. von LOISE 4,111					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	8a	in act. Bed. α〉 stehend: MBH. 1,3572 . 13,997. fg. 1,7627 . 5,7349 . 13,867 . st	MAHĀBHĀRATA 1,3572 → vulg 1.88.9; MAHĀBHĀRATA 13,997. fg → vulg 13.14.406; MAHĀBHĀRATA 1,7627 → vulg 1.207.17					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	8b	mit pass. Bed. α〉 bewohnt, besetzt von ( instr. oder im comp. vorangehend): MBH.	MAHĀBHĀRATA 3,12198 → vulg 3.172.35; RĀMĀYAṆA. Ohne eine nähere Angabe ist be 1,1,32; RĀMĀYAṆA. Ohne eine nähere Angabe ist be 1,1, 34 GORR					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	9a	ein im nom. stehendes adj. , insbes. partic. : widersprachen fortwährend AIT. BR	AITAREYABRĀHMAṆA. Citirt nach den 8 Pañc 2,3; ATHARVAVEDASAM̃HITĀ 4,16,6; ATHARVAVEDASAM̃HITĀ 7,60,2					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	9b	ein absol. : ŚVETĀŚV. UP. 3,16 . MBH. 1,1105 . 3,11844 . 2132 . 2705 . 4,596 . 3	ŚVETĀŚVATAROPANIṢAD in der Bibliotheca i 3,16; MAHĀBHĀRATA 1,1105 → vulg 1.18.32; MAHĀBHĀRATA 3,11844 → vulg 3.163.4					0.99	pilot; MW/Apte columns are inventory not sense-aligned
